target,raw_col,log_transformed,selected_transform,back_transform,best_n_estimators,best_learning_rate,best_max_depth,best_min_child_weight,best_subsample,best_colsample_bytree,best_reg_alpha,cv_r2,cv_rmse_log_space,cv_rmse_orig_units,tier,n_folds,n_samples,grid
d15n_air_permil,d15n_air_permil,False,raw,none,300,0.05,3,10,0.6,1.0,0.0,0.6636655961356505,6.180987185691569,6.180987185691569,strong,28,171,predicted
digest_mg_kg_k_7664,digest_mg_kg_k_7664,False,raw,none,50,0.1,3,10,0.8,0.5,1.0,0.48653573344384593,2085.822718050052,2085.822718050052,moderate,28,171,predicted
wt_percent_n,wt_percent_n,False,raw,none,80,0.03,8,1,1.0,0.7,0.0,0.48184247679961834,0.06709982715608942,0.06709982715608942,moderate,28,171,predicted
digest_mg_kg_na5895,digest_mg_kg_na5895,False,raw,none,200,0.1,3,5,0.6,0.5,1.0,0.4616773709559625,2305.844023462225,2305.844023462225,moderate,28,171,predicted
log_total_mg_l_na,total_mg_l_na,True,log,exp,200,0.03,6,10,0.8,1.0,1.0,0.456992544022489,1.3697556908122037,1707.2441386381668,moderate,28,171,predicted
digest_mg_kg_mg2852,digest_mg_kg_mg2852,False,raw,none,300,0.1,6,10,1.0,0.5,0.1,0.4414505906876498,5103.280435537432,5103.280435537432,moderate,28,171,predicted
digest_mg_kg_cr2835,digest_mg_kg_cr2835,False,raw,none,300,0.1,6,1,0.8,0.5,0.0,0.4255445532458365,10.149874799997672,10.149874799997672,moderate,28,171,predicted
log_digest_mg_kg_sr4077,digest_mg_kg_sr4077,True,log1p,expm1,300,0.1,3,3,0.6,1.0,0.0,0.42285808480820675,0.9278582474029555,51.73988888629059,moderate,28,171,predicted
digest_mg_kg_ni2316,digest_mg_kg_ni2316,False,raw,none,200,0.03,3,3,0.6,0.5,0.0,0.41779997633773025,20.14012151707841,20.14012151707841,moderate,28,171,predicted
clr_total_mg_l_po4,clr_total_mg_l_po4,False,raw,none,120,0.1,4,10,0.6,0.7,1.0,0.40027223010884616,1.4192700554838225,1.4192700554838225,moderate,28,171,predicted
c_n_ratio,c_n_ratio,False,raw,none,200,0.01,8,5,1.0,0.5,0.0,0.39117788579477375,11.326507073368475,11.326507073368475,moderate,28,171,predicted
clr_total_mg_l_k,clr_total_mg_l_k,False,raw,none,80,0.1,3,10,0.6,0.5,0.0,0.38869925387997173,1.0222572630657094,1.0222572630657094,moderate,28,171,predicted
log_digest_mg_kg_p_1774,digest_mg_kg_p_1774,True,log1p,expm1,50,0.1,3,5,0.6,1.0,1.0,0.3834943318753974,0.7969816388511131,1563.216516129578,moderate,28,171,predicted
log_digest_mg_kg_mo2020,digest_mg_kg_mo2020,True,log1p,expm1,30,0.03,4,1,1.0,1.0,0.0,0.3408871525155466,0.2290592111828761,0.4133974105310243,moderate,28,171,predicted
digest_mg_kg_ti3349,digest_mg_kg_ti3349,False,raw,none,30,0.1,6,5,0.8,0.5,0.0,0.3396332584199475,523.1112279077338,523.1112279077338,moderate,28,171,predicted
d13c_vpdb_permil,d13c_vpdb_permil,False,raw,none,80,0.1,8,1,0.6,0.7,1.0,0.33849496221607844,8.732898752225863,8.732898752225863,moderate,28,171,predicted
wt_percent_c,wt_percent_c,False,raw,none,80,0.05,3,10,0.8,0.5,0.0,0.3368776823982963,0.4291772162999531,0.4291772162999531,moderate,28,171,predicted
clr_hr_1_mg_l_po4,clr_hr_1_mg_l_po4,False,raw,none,200,0.05,6,10,0.6,0.5,0.0,0.3288072462625041,1.4462996805394308,1.4462996805394308,moderate,28,171,predicted
digest_mg_kg_al3082,digest_mg_kg_al3082,False,raw,none,300,0.1,8,10,0.6,0.7,1.0,0.3130187885038721,5356.649481878922,5356.649481878922,moderate,28,171,predicted
log_digest_mg_kg_ca3158,digest_mg_kg_ca3158,True,log,exp,200,0.03,6,10,0.8,1.0,0.0,0.3119947582143101,0.9231789222256664,8543.292462764583,moderate,28,171,predicted
log_cec_meq_100g,cec_meq_100g,True,log1p,expm1,80,0.1,4,10,0.8,0.5,0.1,0.28303834749466217,0.48501116240542774,2.889012043062391,weak,28,171,predicted
ph_mq,ph_mq,False,raw,none,120,0.01,6,10,1.0,0.5,0.1,0.2774308580611431,1.0257836199819559,1.0257836199819559,weak,28,171,predicted
clr_hr_24_mg_l_po4,clr_hr_24_mg_l_po4,False,raw,none,50,0.05,4,1,1.0,0.5,1.0,0.27096386319484067,1.19120042579245,1.19120042579245,weak,28,171,predicted
digest_mg_kg_fe2599,digest_mg_kg_fe2599,False,raw,none,30,0.05,3,10,1.0,0.7,0.1,0.2565944589088519,6370.006632810009,6370.006632810009,weak,28,171,predicted
clr_total_mg_l_ca2,clr_total_mg_l_ca2,False,raw,none,120,0.1,8,10,0.6,0.7,1.0,0.25286729060948265,1.0456118923557847,1.0456118923557847,weak,28,171,predicted
digest_mg_kg_co2286,digest_mg_kg_co2286,False,raw,none,300,0.01,6,10,0.6,0.5,1.0,0.25166163504276484,4.834942341682161,4.834942341682161,weak,28,171,predicted
ph_kcl,ph_kcl,False,raw,none,30,0.05,6,5,0.6,0.5,1.0,0.241883602437713,1.049430635614756,1.049430635614756,weak,28,171,predicted
log_total_mg_l_so4,total_mg_l_so4,True,log,exp,80,0.1,8,10,0.8,0.5,1.0,0.21857664091009243,1.7702972402921053,4437.343035565554,weak,28,171,predicted
log_total_mg_l_mg2,total_mg_l_mg2,True,log,exp,300,0.1,8,10,0.8,1.0,0.0,0.2118790942763491,1.7940945142265865,494.8687539809425,weak,28,171,predicted
clr_hr_1_mg_l_no3,clr_hr_1_mg_l_no3,False,raw,none,120,0.1,8,3,1.0,0.5,0.0,0.2074208035603229,1.5134661283890827,1.5134661283890827,weak,28,171,predicted
log_hr_1_mg_l_so4,hr_1_mg_l_so4,True,log,exp,50,0.1,6,3,0.8,0.7,0.0,0.20663214618430747,1.9065372048855673,3002.4871914450473,weak,28,171,predicted
