target,r2_knn,r2_rf,r2_xgb,xgb_vs_rf,xgb_vs_knn,tier
d15n_air_permil,,,0.663666,,,strong
digest_mg_kg_k_7664,,,0.486536,,,moderate
wt_percent_n,,,0.481842,,,moderate
digest_mg_kg_na5895,,,0.461677,,,moderate
log_total_mg_l_na,,,0.456993,,,moderate
digest_mg_kg_mg2852,,,0.441451,,,moderate
digest_mg_kg_cr2835,,,0.425545,,,moderate
log_digest_mg_kg_sr4077,,,0.422858,,,moderate
digest_mg_kg_ni2316,,,0.4178,,,moderate
clr_total_mg_l_po4,,,0.400272,,,moderate
c_n_ratio,,,0.391178,,,moderate
clr_total_mg_l_k,,,0.388699,,,moderate
log_digest_mg_kg_p_1774,,,0.383494,,,moderate
log_digest_mg_kg_mo2020,,,0.340887,,,moderate
digest_mg_kg_ti3349,,,0.339633,,,moderate
d13c_vpdb_permil,,,0.338495,,,moderate
wt_percent_c,,,0.336878,,,moderate
clr_hr_1_mg_l_po4,,,0.328807,,,moderate
digest_mg_kg_al3082,,,0.313019,,,moderate
log_digest_mg_kg_ca3158,,,0.311995,,,moderate
log_cec_meq_100g,,,0.283038,,,weak
ph_mq,,,0.277431,,,weak
clr_hr_24_mg_l_po4,,,0.270964,,,weak
digest_mg_kg_fe2599,,,0.256594,,,weak
clr_total_mg_l_ca2,,,0.252867,,,weak
digest_mg_kg_co2286,,,0.251662,,,weak
ph_kcl,,,0.241884,,,weak
log_total_mg_l_so4,,,0.218577,,,weak
log_total_mg_l_mg2,,,0.211879,,,weak
clr_hr_1_mg_l_no3,,,0.207421,,,weak
log_hr_1_mg_l_so4,,,0.206632,,,weak
log_hr_24_mg_l_cl,,,0.20565,,,weak
clr_total_mg_l_no3,,,0.195427,,,weak
clr_total_mg_l_sr2,,,0.184424,,,weak
clr_total_mg_l_na,,,0.170388,,,weak
log_digest_mg_kg_pb2203,,,0.168399,,,weak
log_hr_1_mg_l_cl,,,0.168061,,,weak
log_total_mg_l_ca2,,,0.156513,,,weak
digest_mg_kg_si2516,,,0.13396,,,weak
digest_mg_kg_ba4554,,,0.128327,,,weak
digest_mg_kg_mn2576,,,0.125386,,,weak
clr_hr_24_mg_l_so4,,,0.125166,,,weak
clr_total_mg_l_cl,,,0.123479,,,weak
log_total_mg_l_cl,,,0.123437,,,weak
clr_hr_24_mg_l_cl,,,0.110215,,,weak
digest_mg_kg_v_2924,,,0.108252,,,weak
digest_mg_kg_be3130,,,0.104373,,,weak
clr_hr_1_mg_l_so4,,,0.096938,,,weak
ph_cacl2,,,0.096019,,,weak
digest_mg_kg_cu3247,,,0.090881,,,weak
digest_mg_kg_zn2138,,,0.086538,,,weak
log_digest_mg_kg_li6707,,,0.081638,,,weak
clr_total_mg_l_so4,,,0.072474,,,weak
clr_hr_1_mg_l_cl,,,0.060415,,,weak
clr_hr_24_mg_l_f,,,0.052227,,,weak
clr_hr_24_mg_l_no3,,,0.026387,,,weak
log_digest_mg_kg_sb2068,,,0.023406,,,weak
hr_24_mg_l_so4,,,0.00918,,,weak
clr_hr_1_mg_l_f,,,0.00574,,,weak
clr_total_mg_l_f,,,-0.00094,,,unusable
digest_mg_kg_b_2496,,,-0.009528,,,unusable
log_digest_mg_kg_tl1908,,,-0.011172,,,unusable
log_digest_mg_kg_hg1849,,,-0.014924,,,unusable
log_digest_mg_kg_sn1899,,,-0.016709,,,unusable
ec_us_cm,,,-0.030686,,,unusable
digest_mg_kg_as1890,,,-0.03137,,,unusable
clr_total_mg_l_mg2,,,-0.071598,,,unusable
