target,proj_x_epsg3031,proj_y_epsg3031,wgs84_elev_from_pgc,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_sin,aspect_cos,litho_a,litho_b,litho_c,litho_d,litho_g,litho_n,litho_p,litho_s,litho_w,region_tm,region_svl,region_nvl,region_nwap
ph_mq,0.1660963995021518,0.14895116432105873,0.10592063874846369,0.10956550260037774,0.08445767423400813,0.11254604786898179,0.027487352662917644,0.07138102133637997,0.04064323151938901,0.008435497409147305,0.0,0.03522038183024664,0.0006983824596480868,0.003589384986432824,0.0,0.004938251780625121,0.0041469663409120575,0.0012414984769326927,0.0304931281285884,0.033546281058018546,0.0,0.010641194735719896
ph_kcl,0.14720051695525252,0.10603168769099212,0.08834918226058154,0.09900946121534067,0.091661449389446,0.1054475772169528,0.04233475491707076,0.09532716180866528,0.04770125338119459,0.0031768619330329382,0.0,0.10012755423609691,0.0005566684022968599,0.004054227527028713,0.0,0.0018839889918306825,0.012426578916527122,0.003553041188692035,0.01803591331827995,0.025503836937692283,0.0,0.007618283713026253
ph_cacl2,0.11531465904688872,0.0992678871264781,0.08688670523965075,0.12233437064429294,0.10619475696806775,0.13750957875801548,0.0435983808351286,0.09799941134842045,0.046705354837743025,0.005188502816487134,0.0,0.06088781044103146,0.0002015690005509175,0.004989518879778953,0.0,0.00674064012393003,0.008984819187211588,0.004591978061974722,0.01243829279580839,0.01481351280333626,0.0,0.02535225108520467
d15n_air_permil,0.08995378944892345,0.13775194917362155,0.18687164525637623,0.196110438450653,0.046218340304412416,0.0779436653490594,0.02425343676848751,0.051607355850890185,0.024678528972456225,0.06791822498062394,0.0005019380154304685,0.012341684022909747,0.0008956839561579947,0.0034000618966666314,0.0,0.01203749757797433,0.001203959421288006,0.0018554247653518343,0.016942372183731742,0.034369093612757716,0.00907164816325046,0.004073261828976939
d13c_vpdb_permil,0.14260119816489292,0.11572622479114894,0.13557709738421186,0.09755324340087201,0.05728479729850816,0.1050029962378441,0.08091109607806818,0.05394150952599576,0.08502127418895944,0.005339402332205041,0.0004978245554153383,0.0567796137205317,0.0030832013481740723,0.008368243448424448,0.00021875287018021855,0.00046683094588844743,0.008686409031594018,0.014436398716175736,0.012960289071123114,0.010292407336943034,0.004635165195923457,0.0006160243569200431
wt_percent_n,0.037891574161292886,0.0812590124423369,0.26508719643416095,0.24019177928282262,0.031362215869674914,0.09756353101820321,0.02880742299653272,0.09201534052137093,0.01800783357014839,0.06830073403506208,0.0,0.007887587247937047,0.0009789209241091558,0.00141792726550193,0.0,0.012118123052855333,0.0002512408781563657,0.00024657870592003115,0.006299874556261592,0.005467195260152622,0.0033380967517342226,0.0015078150257662325
wt_percent_c,0.03697625186276152,0.033878596022021,0.3731394135896805,0.3109430871058868,0.053340228102121655,0.09291110551775532,0.010391900634322788,0.04622305765955955,0.02626913512488499,0.0034591485102007345,0.0,0.004127041191552131,0.0,0.0010094073301793831,0.0,6.951305738035871e-05,0.0008572589115750988,0.0005385454654163234,0.0019001514467092647,0.0003758830865356375,0.0,0.0035902753814570235
c_n_ratio,0.10461899794996926,0.04740941611390606,0.2910443509346272,0.09678032172291727,0.028426416333016843,0.11635921865511774,0.02009787495689636,0.08158650685377473,0.12458694644751102,0.00018025927529758084,0.0,0.07943272966465796,5.281253608637371e-05,6.120529162851585e-05,0.0,0.0013275213014927638,0.0008189048712986333,0.0004327964293147508,0.0004012343102819209,0.006317876287059447,2.6912612015764022e-05,3.769745312975152e-05
log_cec_meq_100g,0.09993047085435668,0.17513892221177738,0.1326260673955613,0.15681381795577148,0.07538641233792695,0.09593252957034246,0.04947151875788112,0.04904663132452305,0.053295518290574585,0.032299547834199686,0.004062522105206453,0.00948184839209997,0.0032785082636271035,0.017079663223716134,0.0,0.003696428746677699,0.008665548775271648,0.006971781425750872,0.018637035884029277,0.005151509903146421,0.001246839042352568,0.0017868777052071736
log_digest_mg_kg_hg1849,0.09778133478144176,0.09986815935955146,0.11213169175723088,0.09715827636029953,0.05540975774304906,0.06775363655697787,0.09635142048308956,0.13916829105009174,0.09902029737276687,0.046628004624700306,0.00113573697208887,0.016487014014492807,0.0023495833036943853,0.01484272139439541,0.0,0.009583368690916036,0.013170387056960418,0.0029567568577609765,0.007732650629370733,0.006425636319995361,0.003050060479313943,0.010995214191812172
log_digest_mg_kg_li6707,0.11692951625532555,0.14303531521784066,0.07510083844394017,0.08539299488753974,0.15777180906104837,0.09596598369190615,0.061882753353249983,0.042985732732373334,0.0532388796492557,0.000987459990984746,0.0,0.009246588307049256,0.0008455154696050004,0.004118560104265201,0.0,0.02975009584423182,0.02926994193336702,0.007135518801711051,0.027263919963053253,0.01823628943485946,0.00018437525610295332,0.04065791160229072
