target,r2_knn,r2_rf,r2_xgb,xgb_vs_rf,xgb_vs_knn,tier
d15n_air_permil,,,0.66444,,,strong
wt_percent_n,,,0.487651,,,moderate
log_total_mg_l_na,,,0.458206,,,moderate
digest_mg_kg_k_7664,,,0.436665,,,moderate
digest_mg_kg_cr2835,,,0.424982,,,moderate
log_digest_mg_kg_sr4077,,,0.409381,,,moderate
digest_mg_kg_mg2852,,,0.405965,,,moderate
digest_mg_kg_na5895,,,0.401436,,,moderate
log_digest_mg_kg_p_1774,,,0.394081,,,moderate
clr_total_mg_l_po4,,,0.392492,,,moderate
clr_total_mg_l_k,,,0.387772,,,moderate
c_n_ratio,,,0.379696,,,moderate
digest_mg_kg_ni2316,,,0.375543,,,moderate
d13c_vpdb_permil,,,0.367873,,,moderate
log_digest_mg_kg_mo2020,,,0.335207,,,moderate
wt_percent_c,,,0.331425,,,moderate
digest_mg_kg_ti3349,,,0.316848,,,moderate
log_digest_mg_kg_ca3158,,,0.316666,,,moderate
clr_hr_1_mg_l_po4,,,0.315733,,,moderate
log_cec_meq_100g,,,0.301619,,,moderate
ph_mq,,,0.286272,,,weak
clr_total_mg_l_ca2,,,0.282973,,,weak
digest_mg_kg_al3082,,,0.282298,,,weak
clr_hr_24_mg_l_po4,,,0.281178,,,weak
digest_mg_kg_fe2599,,,0.261336,,,weak
digest_mg_kg_co2286,,,0.246261,,,weak
log_hr_24_mg_l_cl,,,0.245929,,,weak
log_total_mg_l_mg2,,,0.230273,,,weak
ph_kcl,,,0.227092,,,weak
clr_hr_1_mg_l_no3,,,0.219197,,,weak
clr_total_mg_l_sr2,,,0.211975,,,weak
clr_total_mg_l_no3,,,0.19832,,,weak
log_digest_mg_kg_pb2203,,,0.190999,,,weak
log_hr_1_mg_l_so4,,,0.181066,,,weak
log_hr_1_mg_l_cl,,,0.180614,,,weak
log_total_mg_l_ca2,,,0.173577,,,weak
log_total_mg_l_so4,,,0.164858,,,weak
log_total_mg_l_cl,,,0.155829,,,weak
digest_mg_kg_ba4554,,,0.136271,,,weak
digest_mg_kg_mn2576,,,0.128479,,,weak
clr_hr_24_mg_l_cl,,,0.125337,,,weak
digest_mg_kg_cu3247,,,0.123607,,,weak
clr_total_mg_l_na,,,0.120443,,,weak
clr_hr_24_mg_l_so4,,,0.116764,,,weak
clr_total_mg_l_cl,,,0.114808,,,weak
digest_mg_kg_v_2924,,,0.109036,,,weak
ph_cacl2,,,0.107097,,,weak
digest_mg_kg_si2516,,,0.096426,,,weak
clr_hr_1_mg_l_so4,,,0.094008,,,weak
digest_mg_kg_be3130,,,0.092917,,,weak
log_digest_mg_kg_li6707,,,0.06812,,,weak
clr_total_mg_l_so4,,,0.062383,,,weak
clr_hr_24_mg_l_f,,,0.061868,,,weak
clr_hr_1_mg_l_cl,,,0.058328,,,weak
digest_mg_kg_zn2138,,,0.049269,,,weak
log_digest_mg_kg_sb2068,,,0.025326,,,weak
clr_total_mg_l_f,,,0.012918,,,weak
clr_hr_24_mg_l_no3,,,0.006372,,,weak
hr_24_mg_l_so4,,,0.004215,,,weak
digest_mg_kg_b_2496,,,-0.005991,,,unusable
clr_hr_1_mg_l_f,,,-0.008623,,,unusable
log_digest_mg_kg_tl1908,,,-0.011181,,,unusable
log_digest_mg_kg_sn1899,,,-0.018105,,,unusable
digest_mg_kg_as1890,,,-0.030412,,,unusable
ec_us_cm,,,-0.036114,,,unusable
log_digest_mg_kg_hg1849,,,-0.037232,,,unusable
clr_total_mg_l_mg2,,,-0.042375,,,unusable
