target,raw_col,log_transformed,selected_transform,back_transform,best_n_estimators,best_learning_rate,best_max_depth,best_min_child_weight,best_subsample,best_colsample_bytree,best_reg_alpha,cv_r2,cv_rmse_log_space,cv_rmse_orig_units,tier,n_folds,n_samples,grid
d15n_air_permil,d15n_air_permil,False,raw,none,300,0.05,8,10,0.6,0.5,0.1,0.6644399476817535,6.173867760818748,6.173867760818748,strong,28,171,predicted
wt_percent_n,wt_percent_n,False,raw,none,30,0.05,6,1,1.0,1.0,0.0,0.48765100960494634,0.06672267351896513,0.06672267351896513,moderate,28,171,predicted
log_total_mg_l_na,total_mg_l_na,True,log,exp,300,0.1,6,10,0.8,1.0,1.0,0.4582064313815226,1.368223797103252,1712.424327955521,moderate,28,171,predicted
digest_mg_kg_k_7664,digest_mg_kg_k_7664,False,raw,none,200,0.03,8,1,0.6,0.5,1.0,0.4366647695561714,2184.770066732372,2184.770066732372,moderate,28,171,predicted
digest_mg_kg_cr2835,digest_mg_kg_cr2835,False,raw,none,300,0.1,4,5,0.8,0.5,0.1,0.42498170047659445,10.154846017941155,10.154846017941155,moderate,28,171,predicted
log_digest_mg_kg_sr4077,digest_mg_kg_sr4077,True,log1p,expm1,80,0.1,3,10,1.0,1.0,0.1,0.409380599590104,0.9386294545938351,53.311783940857964,moderate,28,171,predicted
digest_mg_kg_mg2852,digest_mg_kg_mg2852,False,raw,none,120,0.1,3,10,1.0,0.7,0.1,0.4059649372390408,5262.894640602393,5262.894640602393,moderate,28,171,predicted
digest_mg_kg_na5895,digest_mg_kg_na5895,False,raw,none,300,0.03,8,10,0.6,1.0,1.0,0.40143624730561567,2431.4414452976625,2431.4414452976625,moderate,28,171,predicted
log_digest_mg_kg_p_1774,digest_mg_kg_p_1774,True,log1p,expm1,50,0.05,6,1,0.6,1.0,1.0,0.3940806608642088,0.7901093227648395,1657.8361874987281,moderate,28,171,predicted
clr_total_mg_l_po4,clr_total_mg_l_po4,False,raw,none,80,0.1,4,5,0.8,1.0,0.0,0.3924919843823408,1.4284464585380918,1.4284464585380918,moderate,28,171,predicted
clr_total_mg_l_k,clr_total_mg_l_k,False,raw,none,300,0.05,3,10,0.6,0.7,0.1,0.3877722599726595,1.023032059498426,1.023032059498426,moderate,28,171,predicted
c_n_ratio,c_n_ratio,False,raw,none,200,0.1,3,3,0.8,0.7,0.0,0.3796959487801913,11.432812995468037,11.432812995468037,moderate,28,171,predicted
