target,raw_col,log_transformed,selected_transform,back_transform,best_n_estimators,best_learning_rate,best_max_depth,best_min_child_weight,best_subsample,best_colsample_bytree,best_reg_alpha,cv_r2,cv_rmse_log_space,cv_rmse_orig_units,tier,n_folds,n_samples,grid
digest_mg_kg_ni2316,digest_mg_kg_ni2316,False,raw,none,200,0.1,6,1,0.6,0.5,0.1,0.37554334514738763,20.858214356931565,20.858214356931565,moderate,28,171,predicted
d13c_vpdb_permil,d13c_vpdb_permil,False,raw,none,30,0.1,4,10,0.6,0.5,0.0,0.367872871449318,8.53677945260887,8.53677945260887,moderate,28,171,predicted
log_digest_mg_kg_mo2020,digest_mg_kg_mo2020,True,log1p,expm1,30,0.05,4,1,1.0,1.0,1.0,0.3352071748460933,0.23004406547168085,0.404406837241463,moderate,28,171,predicted
wt_percent_c,wt_percent_c,False,raw,none,50,0.1,3,10,0.8,0.7,0.1,0.33142518705282853,0.4309380499133597,0.4309380499133597,moderate,28,171,predicted
digest_mg_kg_ti3349,digest_mg_kg_ti3349,False,raw,none,80,0.03,3,5,0.6,1.0,0.0,0.3168484939169286,532.0592041460496,532.0592041460496,moderate,28,171,predicted
log_digest_mg_kg_ca3158,digest_mg_kg_ca3158,True,log,exp,200,0.03,3,10,1.0,1.0,1.0,0.31666568517975036,0.9200398145442521,8405.494473761055,moderate,28,171,predicted
clr_hr_1_mg_l_po4,clr_hr_1_mg_l_po4,False,raw,none,300,0.1,4,10,0.6,0.5,1.0,0.31573328978623805,1.4603177588338843,1.4603177588338843,moderate,28,171,predicted
log_cec_meq_100g,cec_meq_100g,True,log1p,expm1,300,0.1,4,5,0.8,0.5,0.1,0.3016186761441748,0.47868528642706065,2.876939737623626,moderate,28,171,predicted
ph_mq,ph_mq,False,raw,none,50,0.05,8,10,0.8,0.5,1.0,0.2862717014521692,1.019488926057176,1.019488926057176,weak,28,171,predicted
clr_total_mg_l_ca2,clr_total_mg_l_ca2,False,raw,none,120,0.1,6,10,0.6,1.0,0.1,0.2829727088030486,1.0243290322038026,1.0243290322038026,weak,28,171,predicted
digest_mg_kg_al3082,digest_mg_kg_al3082,False,raw,none,300,0.1,3,10,0.6,0.7,0.0,0.2822978275783631,5475.111014005601,5475.111014005601,weak,28,171,predicted
clr_hr_24_mg_l_po4,clr_hr_24_mg_l_po4,False,raw,none,300,0.05,8,10,0.6,0.5,0.1,0.28117830161133095,1.1828261058303824,1.1828261058303824,weak,28,171,predicted
digest_mg_kg_fe2599,digest_mg_kg_fe2599,False,raw,none,50,0.03,3,10,1.0,0.7,0.0,0.2613364615250702,6349.657771516841,6349.657771516841,weak,28,171,predicted
digest_mg_kg_co2286,digest_mg_kg_co2286,False,raw,none,30,0.05,6,10,1.0,0.5,0.0,0.24626109177030908,4.852357174539674,4.852357174539674,weak,28,171,predicted
log_hr_24_mg_l_cl,hr_24_mg_l_cl,True,log,exp,300,0.05,6,3,0.6,0.5,0.1,0.24592893313698427,1.5634020707376737,68.34383650849026,weak,28,171,predicted
log_total_mg_l_mg2,total_mg_l_mg2,True,log,exp,300,0.1,6,10,0.8,1.0,0.0,0.23027288377945287,1.7730349134735592,492.7512083615914,weak,28,171,predicted
ph_kcl,ph_kcl,False,raw,none,200,0.01,6,10,0.6,0.7,1.0,0.22709226172498354,1.0596187165123006,1.0596187165123006,weak,28,171,predicted
clr_hr_1_mg_l_no3,clr_hr_1_mg_l_no3,False,raw,none,50,0.05,8,1,1.0,0.5,1.0,0.21919731149554245,1.5021801589174035,1.5021801589174035,weak,28,171,predicted
clr_total_mg_l_sr2,clr_total_mg_l_sr2,False,raw,none,120,0.1,8,1,0.6,0.5,0.1,0.21197501105881467,1.2629260027332294,1.2629260027332294,weak,28,171,predicted
clr_total_mg_l_no3,clr_total_mg_l_no3,False,raw,none,120,0.05,6,10,0.8,0.5,0.0,0.19832019381145505,1.4460678442632213,1.4460678442632213,weak,28,171,predicted
log_digest_mg_kg_pb2203,digest_mg_kg_pb2203,True,log1p,expm1,50,0.05,6,1,0.6,1.0,1.0,0.1909987785688959,0.7073633585920719,14.732686558171611,weak,28,171,predicted
log_hr_1_mg_l_so4,hr_1_mg_l_so4,True,log,exp,300,0.01,8,1,1.0,0.5,0.1,0.18106603660336396,1.9370125135262075,3053.0124190199035,weak,28,171,predicted
log_hr_1_mg_l_cl,hr_1_mg_l_cl,True,log,exp,300,0.05,8,10,0.6,0.5,0.1,0.18061435660082792,2.1205332767248737,690.5159906957045,weak,28,171,predicted
log_total_mg_l_ca2,total_mg_l_ca2,True,log,exp,300,0.1,8,10,0.6,0.5,0.0,0.17357725500777843,1.940898661013748,1806.9231505849903,weak,28,171,predicted
log_total_mg_l_so4,total_mg_l_so4,True,log,exp,50,0.1,6,10,0.8,0.7,1.0,0.16485844271452665,1.830134656444949,4473.366553247128,weak,28,171,predicted
log_total_mg_l_cl,total_mg_l_cl,True,log,exp,30,0.1,3,5,0.6,0.5,0.1,0.155829050245336,1.8624910495472244,760.7990259410141,weak,28,171,predicted
digest_mg_kg_ba4554,digest_mg_kg_ba4554,False,raw,none,50,0.03,8,10,0.8,0.5,0.1,0.13627052118259086,28.199272498573638,28.199272498573638,weak,28,171,predicted
digest_mg_kg_mn2576,digest_mg_kg_mn2576,False,raw,none,80,0.03,6,1,1.0,1.0,0.0,0.12847939278816756,220.29472471075263,220.29472471075263,weak,28,171,predicted
clr_hr_24_mg_l_cl,clr_hr_24_mg_l_cl,False,raw,none,30,0.1,3,3,0.6,0.5,1.0,0.12533686643326858,1.070546235748604,1.070546235748604,weak,28,171,predicted
digest_mg_kg_cu3247,digest_mg_kg_cu3247,False,raw,none,30,0.03,3,10,0.6,0.5,0.1,0.12360688627536243,12.401094914838927,12.401094914838927,weak,28,171,predicted
clr_total_mg_l_na,clr_total_mg_l_na,False,raw,none,30,0.05,4,10,1.0,0.7,1.0,0.12044348530747528,0.8147103880016782,0.8147103880016782,weak,28,171,predicted
clr_hr_24_mg_l_so4,clr_hr_24_mg_l_so4,False,raw,none,300,0.03,8,10,0.6,1.0,1.0,0.11676367802603982,1.2187828873577184,1.2187828873577184,weak,28,171,predicted
clr_total_mg_l_cl,clr_total_mg_l_cl,False,raw,none,50,0.05,4,1,0.8,0.7,0.0,0.11480783940642791,1.3678590630654128,1.3678590630654128,weak,28,171,predicted
digest_mg_kg_v_2924,digest_mg_kg_v_2924,False,raw,none,200,0.01,3,10,0.8,0.5,1.0,0.10903561771053027,19.07859986137659,19.07859986137659,weak,28,171,predicted
ph_cacl2,ph_cacl2,False,raw,none,50,0.03,8,10,0.8,0.5,0.1,0.1070973366805551,0.992785004710861,0.992785004710861,weak,28,171,predicted
digest_mg_kg_si2516,digest_mg_kg_si2516,False,raw,none,30,0.1,4,10,0.6,1.0,0.1,0.0964263962289631,199.82181950043244,199.82181950043244,weak,28,171,predicted
clr_hr_1_mg_l_so4,clr_hr_1_mg_l_so4,False,raw,none,50,0.1,4,3,0.8,1.0,1.0,0.09400798535985888,1.2331650692908633,1.2331650692908633,weak,28,171,predicted
digest_mg_kg_be3130,digest_mg_kg_be3130,False,raw,none,50,0.03,6,1,0.8,0.7,1.0,0.09291723622485837,0.8135090772231748,0.8135090772231748,weak,28,171,predicted
log_digest_mg_kg_li6707,digest_mg_kg_li6707,True,log1p,expm1,120,0.03,8,5,1.0,1.0,0.1,0.06811990963919567,0.8818553933759619,9.308115632137886,weak,28,171,predicted
clr_total_mg_l_so4,clr_total_mg_l_so4,False,raw,none,30,0.1,4,3,0.8,0.5,0.0,0.06238299156264726,0.9914661030639668,0.9914661030639668,weak,28,171,predicted
clr_hr_24_mg_l_f,clr_hr_24_mg_l_f,False,raw,none,30,0.1,3,10,0.6,0.5,0.1,0.061867623209564626,1.145885640712242,1.145885640712242,weak,28,171,predicted
clr_hr_1_mg_l_cl,clr_hr_1_mg_l_cl,False,raw,none,80,0.03,4,10,0.6,0.5,0.0,0.05832798948697526,1.3201532157364242,1.3201532157364242,weak,28,171,predicted
digest_mg_kg_zn2138,digest_mg_kg_zn2138,False,raw,none,50,0.03,8,10,0.8,0.5,0.1,0.04926887589469675,32.28632654912098,32.28632654912098,weak,28,171,predicted
log_digest_mg_kg_sb2068,digest_mg_kg_sb2068,True,log1p,expm1,30,0.03,4,1,1.0,0.5,1.0,0.025325826680046126,0.17964087958790356,0.6446097897740228,weak,28,171,predicted
clr_total_mg_l_f,clr_total_mg_l_f,False,raw,none,30,0.03,8,10,0.8,0.5,1.0,0.012917882303344452,1.3793142829817657,1.3793142829817657,weak,28,171,predicted
clr_hr_24_mg_l_no3,clr_hr_24_mg_l_no3,False,raw,none,50,0.01,3,10,0.8,0.7,1.0,0.006372025120507052,1.0937215870044807,1.0937215870044807,weak,28,171,predicted
hr_24_mg_l_so4,hr_24_mg_l_so4,False,raw,none,30,0.03,3,3,1.0,1.0,1.0,0.004215201547367653,1894.270346133518,1894.270346133518,weak,28,171,predicted
digest_mg_kg_b_2496,digest_mg_kg_b_2496,False,raw,none,30,0.01,8,10,1.0,1.0,0.1,-0.005990707231890102,20.319357666640048,20.319357666640048,unusable,28,171,skipped R²=-0.006
clr_hr_1_mg_l_f,clr_hr_1_mg_l_f,False,raw,none,30,0.03,8,5,0.8,1.0,0.0,-0.008623301281420748,1.4101088474724492,1.4101088474724492,unusable,28,171,skipped R²=-0.009
log_digest_mg_kg_tl1908,digest_mg_kg_tl1908,True,log1p,expm1,50,0.1,4,3,1.0,0.7,1.0,-0.011181037770897184,0.08243330318571458,0.34560113552217697,unusable,28,171,skipped R²=-0.011
log_digest_mg_kg_sn1899,digest_mg_kg_sn1899,True,log1p,expm1,30,0.01,8,10,0.8,0.5,1.0,-0.018105141601072683,0.07144470539280355,0.25212636613642114,unusable,28,171,skipped R²=-0.018
digest_mg_kg_as1890,digest_mg_kg_as1890,False,raw,none,30,0.01,4,5,0.6,0.5,1.0,-0.030411663438425274,2.5337563822722613,2.5337563822722613,unusable,28,171,skipped R²=-0.030
ec_us_cm,ec_us_cm,False,raw,none,30,0.01,8,10,1.0,1.0,1.0,-0.03611386529474192,4994.547468076206,4994.547468076206,unusable,28,171,skipped R²=-0.036
log_digest_mg_kg_hg1849,digest_mg_kg_hg1849,True,log1p,expm1,30,0.01,8,1,0.8,0.7,0.1,-0.03723169665395876,1.2359520805159137,70.231000442852,unusable,28,171,skipped R²=-0.037
clr_total_mg_l_mg2,clr_total_mg_l_mg2,False,raw,none,120,0.1,3,3,0.6,0.7,0.0,-0.042375010815598024,0.8352146727103481,0.8352146727103481,unusable,28,171,skipped R²=-0.042
