target,raw_col,log_transformed,selected_transform,back_transform,best_n_estimators,best_max_depth,best_min_samples_leaf,best_max_features,best_max_samples,cv_r2,cv_rmse_log_space,cv_rmse_orig_units,tier,n_folds,n_samples,grid
d15n_air_permil,d15n_air_permil,False,raw,none,100,30.0,1,sqrt,0.8,0.6752492115127069,6.073615621051788,6.073615621051788,strong,28,171,predicted
digest_mg_kg_ni2316,digest_mg_kg_ni2316,False,raw,none,100,15.0,1,sqrt,,0.47885791375710784,19.054784908989102,19.054784908989102,moderate,28,171,predicted
digest_mg_kg_mg2852,digest_mg_kg_mg2852,False,raw,none,100,30.0,3,sqrt,0.8,0.44732080333330926,5076.392511018305,5076.392511018305,moderate,28,171,predicted
log_digest_mg_kg_sr4077,digest_mg_kg_sr4077,True,log1p,expm1,100,15.0,5,0.5,0.8,0.39296970823627053,0.9515804391880489,57.00776821674961,moderate,28,171,predicted
digest_mg_kg_ti3349,digest_mg_kg_ti3349,False,raw,none,100,30.0,5,0.75,0.8,0.3927719731267745,501.622894254488,501.622894254488,moderate,28,171,predicted
clr_total_mg_l_po4,clr_total_mg_l_po4,False,raw,none,100,15.0,3,0.5,,0.39276309410170773,1.4281276899589128,1.4281276899589128,moderate,28,171,predicted
log_digest_mg_kg_p_1774,digest_mg_kg_p_1774,True,log1p,expm1,100,15.0,3,sqrt,0.8,0.3924493479971718,0.7911722110508436,1697.2998472156794,moderate,28,171,predicted
wt_percent_n,wt_percent_n,False,raw,none,100,,3,sqrt,,0.38985696947918524,0.07281256406303835,0.07281256406303835,moderate,28,171,predicted
digest_mg_kg_na5895,digest_mg_kg_na5895,False,raw,none,100,,3,sqrt,,0.38590166247464397,2462.791064528299,2462.791064528299,moderate,28,171,predicted
digest_mg_kg_k_7664,digest_mg_kg_k_7664,False,raw,none,100,,3,sqrt,,0.37990670030272644,2292.1909846016883,2292.1909846016883,moderate,28,171,predicted
d13c_vpdb_permil,d13c_vpdb_permil,False,raw,none,100,15.0,1,sqrt,0.8,0.35065955692540696,8.652230356914078,8.652230356914078,moderate,28,171,predicted
log_total_mg_l_na,total_mg_l_na,True,log,exp,100,,3,0.75,,0.3341556498303211,1.5167939107733817,1734.0601212573963,moderate,28,171,predicted
digest_mg_kg_cr2835,digest_mg_kg_cr2835,False,raw,none,100,,3,sqrt,,0.324753648753933,11.004330680152506,11.004330680152506,moderate,28,171,predicted
ph_mq,ph_mq,False,raw,none,100,,5,sqrt,,0.2922542354020434,1.015207211413307,1.015207211413307,weak,28,171,predicted
c_n_ratio,c_n_ratio,False,raw,none,100,15.0,3,0.75,0.8,0.2916810197736548,12.217018479104329,12.217018479104329,weak,28,171,predicted
