raw_col,r2_raw,r2_log,selected_transform,delta_r2,winner_note
digest_mg_kg_mg2852,0.447321,0.31174,raw,-0.135581,
digest_mg_kg_na5895,0.385902,0.381934,raw,-0.003968,Na: raw won as expected
digest_mg_kg_ca3158,0.182247,0.262945,log,0.080698,
hr_24_mg_l_cl,0.11291,0.164515,log,0.051605,
total_mg_l_ca2,-0.007003,0.110043,log,0.117045,
total_mg_l_cl,-0.025641,0.156669,log,0.18231,
total_mg_l_so4,-0.033033,0.13707,log,0.170103,
hr_1_mg_l_cl,-0.035805,0.136672,log,0.172477,
total_mg_l_na,-0.046032,0.334156,log,0.380187,
hr_24_mg_l_so4,-0.051464,-0.047961,log,0.003503,
total_mg_l_mg2,-0.074103,0.084572,log,0.158675,
hr_1_mg_l_so4,-0.079775,0.140933,log,0.220708,
ec_us_cm,-0.249979,-0.272799,raw,-0.022821,
