target,proj_x_epsg3031,proj_y_epsg3031,wgs84_elev_from_pgc,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_sin,aspect_cos,litho_a,litho_b,litho_c,litho_d,litho_g,litho_n,litho_p,litho_s,litho_w,region_tm,region_svl,region_nvl,region_nwap
ph_mq,0.20233167514547445,0.12804710114691187,0.12596660310286673,0.10287210501982577,0.07648518608953528,0.08924353159431332,0.027841061846056725,0.080751144933088,0.04051636018909141,0.0082795699665692,0.0,0.03383491874731962,0.0006986282744178555,0.0010115244380532453,0.0,0.008308890993326103,0.002809457953636866,0.0018884326852198355,0.01710422121731571,0.04716970828099848,0.0,0.004839878375979677
ph_kcl,0.16402245311306957,0.08102953904887568,0.12625274154542082,0.08537483730480175,0.10215403574576797,0.08117259219783489,0.058875639617845726,0.08740900909109352,0.0615107761134582,0.004320362871665358,0.0002251278216439086,0.061939861461469535,0.0013614081913930274,0.0034155419429816483,0.0,0.00621582264223534,0.019435047888196312,0.006068139342181544,0.014020324408654472,0.032290335978951916,0.0008421534847240521,0.0020642501877349475
ph_cacl2,0.12260218887731676,0.07791229198299908,0.11454832507936283,0.09889304215013282,0.136006915473868,0.12385486008339082,0.040326384080206244,0.10205685325075022,0.049336125129714775,0.0021738330632473765,0.0,0.057122538824071235,0.0009068178350516306,0.004765983153497567,0.0,0.017508397321500644,0.009099756382737427,0.0026002423324455403,0.012826946951816241,0.02166906647664101,0.0,0.005789431551249915
d15n_air_permil,0.0964093397465838,0.12841572056795,0.17037825267092827,0.11873069707904953,0.04901206063079007,0.07065272539087473,0.03706697360641201,0.06661715023652505,0.036825605693208995,0.11335372828036659,0.008474450494163129,0.008674984920914158,0.0024221726802712965,0.006066939866604172,7.88462110840302e-05,0.003979461534412228,0.004782825045474987,0.001745681127650779,0.01957984059889887,0.041188940836024014,0.012739448927303547,0.0028041538545099313
d13c_vpdb_permil,0.15364929956724485,0.11912920444612422,0.1568040978576957,0.08526597208671514,0.0740705735636059,0.08724210394272476,0.06748432079932346,0.05921250442916998,0.08775260665089932,0.002269420757691469,0.0009162393994323135,0.04411906415464317,0.0016450971516453038,0.010872011303214527,0.0003151243746009882,0.0009200355815857598,0.006955190818945099,0.013003097267891763,0.010819353392640452,0.011821862577385253,0.003458616981787277,0.002274202895033339
wt_percent_n,0.03845305489668989,0.10393670274961067,0.21737119850656364,0.1325192130482613,0.0399066757710454,0.11578978758297226,0.03642364071884654,0.12505929950315398,0.024244300191052476,0.11440959148707011,0.008645499674085767,0.005871436966862159,0.005926576640073944,0.001309401748695263,0.0,0.004346863344053464,0.0002924108641289812,0.00033185088727021494,0.0049822898561864845,0.0027746462868575143,0.014409597040178064,0.0029959622363417947
wt_percent_c,0.035661113566139026,0.04909419674138429,0.2928832240922926,0.36140553520858076,0.06078816951483373,0.08070090904991525,0.017059279431982776,0.03695065150267796,0.03138164411817553,0.022415230351372245,0.0,0.0007118166547974748,2.209338024137303e-05,0.0013174534189755568,0.0,5.992425851724471e-05,0.0006416258203816381,0.0009715635479962385,0.0006614428050523569,0.007274126536684059,0.0,0.0
c_n_ratio,0.10715517459290393,0.02695879907872467,0.4241710946991118,0.08871516890553172,0.013016454560361275,0.06917679276305612,0.0258437736651715,0.04503439796933995,0.11902274144933477,0.0003149841839820464,0.0,0.06891643648867984,9.27286433749401e-06,0.0005708899309802363,0.0,7.249428300408864e-05,0.0013670726485092,0.00041589074614152175,0.0017765401447615166,0.007417069237153275,1.408585906816407e-05,3.0865929847029306e-05
log_cec_meq_100g,0.09373929286250632,0.23831524646233918,0.17644100716229877,0.16949919874214564,0.06693928143123455,0.07243357760958571,0.031896653700656606,0.028755961722692843,0.06626450494913044,0.01014893463100864,0.0,0.003986080381184445,0.00023602257373355997,0.013485519104563795,0.0,0.0,0.012958566126699331,0.00301765884215058,0.005057769670323076,0.006824724027746528,0.0,0.0
log_digest_mg_kg_hg1849,0.0815245570225726,0.11225527881868437,0.12502504838988304,0.10192790636372183,0.04589807144530613,0.06027546433457352,0.07696326088245424,0.15493673061304916,0.08424806135637228,0.059018938812638796,0.0,0.019154721498830112,0.0009976033820514464,0.014818400578284653,0.0,0.010102816692942794,0.014268043573292996,0.004364011061167521,0.005723665456066297,0.011264031598358022,0.00945497652937527,0.007778411590374645
log_digest_mg_kg_li6707,0.15113195704026644,0.11300864348238635,0.07778190494928743,0.0884800296266984,0.13435001101371527,0.07486078055328513,0.0669233649042007,0.058742822908499755,0.06807729865206313,0.002291216070970146,0.000610074392501644,0.01496290263959831,0.0019942071307715,0.012257097059402889,0.0001361159696486019,0.029845190163601352,0.03253855227627647,0.0074666249467449574,0.02483068507204148,0.010316474309429162,0.001924620683651457,0.027469426154959457
log_digest_mg_kg_mo2020,0.07063649826334213,0.10186192210647169,0.20221823492912366,0.0851702395768302,0.06070481888528284,0.09696162781268863,0.06616151003729472,0.0854398029349013,0.04761595395456589,0.11308530404199843,1.7292338491325775e-05,0.013531556256569087,0.004026404354536669,0.004336729631757384,0.0,0.004538981935076716,0.002019886919176201,0.0008569415801158802,0.004812243166497516,0.02058495468830097,0.009793229372278604,0.005625867214700281
log_digest_mg_kg_p_1774,0.07715458079823363,0.11374495712368558,0.20218955354582607,0.10446466626481098,0.06425663872507535,0.07379750711187169,0.03901775453469626,0.08759154739021908,0.04736272030935337,0.11253001518726052,0.0019967983433306843,0.007989138500668479,0.0009084215645062588,0.014135594110239872,0.0,0.012563447591837487,0.004669802790657131,0.0015305727100237538,0.007371547364030058,0.009704429233941516,0.013353215391163955,0.0036670914085682404
log_digest_mg_kg_pb2203,0.15545036052131972,0.15768749219310457,0.06846412807908997,0.04726414892773472,0.09747023544244049,0.030574079168037626,0.026477208160637006,0.027260360593250627,0.0516021445405278,0.0028751222361033334,0.0,0.0035673351665175095,0.003867619477580272,0.01032434605749719,0.0,0.0013994064676984919,0.008663871049086337,0.04041234983195591,0.05882355042898782,0.19902207515927242,0.0025289626459624776,0.006265203853195714
log_digest_mg_kg_sb2068,0.13298914489910477,0.10801946746345334,0.12945399442644684,0.062396178321160574,0.09016497944168808,0.06268559481348152,0.08387766075887264,0.07435976750417918,0.1366127639630121,0.0,0.0,0.04467049920693603,0.0007263294687052609,0.010930888196952537,0.0,0.00017519917086254976,0.013481475329942177,0.00016690197129985723,0.014185557055097262,0.03308196069218207,0.001196096579552265,0.0008255407370710541
