sample_id,ph_mq,ph_kcl,ph_cacl2,d15n_air_permil,d13c_vpdb_permil,wt_percent_n,wt_percent_c,c_n_ratio,log_cec_meq_100g,log_digest_mg_kg_hg1849,log_digest_mg_kg_li6707,log_digest_mg_kg_mo2020,log_digest_mg_kg_p_1774,log_digest_mg_kg_pb2203,log_digest_mg_kg_sb2068,log_digest_mg_kg_se1960,log_digest_mg_kg_sn1899,log_digest_mg_kg_sr4077,log_digest_mg_kg_tl1908,ec_us_cm,total_mg_l_cl,hr_1_mg_l_cl,hr_24_mg_l_cl,total_mg_l_so4,hr_1_mg_l_so4,hr_24_mg_l_so4,total_mg_l_na,total_mg_l_mg2,total_mg_l_ca2,digest_mg_kg_na5895,digest_mg_kg_mg2852,digest_mg_kg_ca3158,log_ec_us_cm,log_total_mg_l_cl,log_hr_1_mg_l_cl,log_hr_24_mg_l_cl,log_total_mg_l_so4,log_hr_1_mg_l_so4,log_hr_24_mg_l_so4,log_total_mg_l_na,log_total_mg_l_mg2,log_total_mg_l_ca2,log_digest_mg_kg_na5895,log_digest_mg_kg_mg2852,log_digest_mg_kg_ca3158,clr_hr_1_mg_l_f,clr_hr_1_mg_l_cl,clr_hr_1_mg_l_no3,clr_hr_1_mg_l_po4,clr_hr_1_mg_l_so4,clr_hr_24_mg_l_f,clr_hr_24_mg_l_cl,clr_hr_24_mg_l_no3,clr_hr_24_mg_l_po4,clr_hr_24_mg_l_so4,clr_total_mg_l_f,clr_total_mg_l_cl,clr_total_mg_l_no3,clr_total_mg_l_po4,clr_total_mg_l_so4,clr_total_mg_l_ca2,clr_total_mg_l_k,clr_total_mg_l_mg2,clr_total_mg_l_na,clr_total_mg_l_sr2,digest_mg_kg_al3082,digest_mg_kg_as1890,digest_mg_kg_b_2496,digest_mg_kg_ba4554,digest_mg_kg_be3130,digest_mg_kg_cd2288,digest_mg_kg_co2286,digest_mg_kg_cr2835,digest_mg_kg_cu3247,digest_mg_kg_fe2599,digest_mg_kg_k_7664,digest_mg_kg_mn2576,digest_mg_kg_ni2316,digest_mg_kg_si2516,digest_mg_kg_ti3349,digest_mg_kg_v_2924,digest_mg_kg_zn2138
AV1-1,6.628,5.766,6.611,-15.49,-34.48,0.14,0.01,0.09,1.4586150226995167,3.8792931808052273,2.7763317085186157,0.5306282510621704,5.992464047441065,2.0451088625993306,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.321793358874887,1.0986122886681098,16361.2,609.95,474.25,135.69,1826.62,1801.62,25.0,2920.45,604.42,619.38,3830.32,4689.76,7450.8,9.702667957100036,6.413376986594747,6.161734608815124,4.910372872157861,7.510222543502355,7.496441539127092,3.2188758248682006,7.979492992977706,6.404269320519532,6.428718977705554,8.250703629598346,8.453136687423068,8.916076688158848,-5.610354533873196,2.591600903468482,4.048873863090794,-4.956428066466533,3.9263078337804505,-1.7156085959386993,2.3705888332528127,2.592006376747674,-3.926078400024939,0.679091785963152,-3.824519590905841,1.7092306481863417,2.994726396109205,-5.39729351896835,2.80607620509395,1.7245726392971488,-0.6734518032627603,1.700122982111127,3.275346654569301,-4.314810612230124,14096.39,2.5,10.84,19.78,0.6,2.5,9.64,15.56,34.34,18172.69,785.24,257.23,15.66,254.52,267.57,31.12,35.74
AV1-8,7.026,6.234,7.028,-7.38,-32.8,0.15,0.02,0.16,2.1041341542702074,3.460723360976182,2.8195915758351173,0.5306282510621704,6.538168766908871,2.127040520479115,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.6251406131469297,1.0986122886681098,6726.0,394.51,354.78,39.72,2698.58,2673.58,25.0,755.85,430.08,749.9,3724.55,5172.65,10958.08,8.813735892300215,5.977644488507119,5.871497879060794,3.681854839176972,7.900480987718946,7.891173677262581,3.2188758248682006,6.627842943794716,6.06397123789473,6.6199398643073435,8.222701318146976,8.551140408715895,9.301832362674011,-5.32552394267838,2.5861947649089685,2.8050560899303716,-4.6715974752717155,4.605870563110756,-3.46890128755994,2.2531743801435864,2.240506361734815,-2.8149748201532763,1.790195365834815,-5.207588163229,2.1563506863980093,2.354157581111888,-4.514440982669055,4.079187185609836,2.798646062198234,0.04321822064798475,2.2426774357856205,2.8065491416856068,-6.758757167539125,20239.52,2.5,0.5,22.95,0.7,2.5,11.48,17.66,42.81,21816.37,1286.43,270.66,17.27,564.17,416.17,52.1,41.42
AV2-1,7.791,7.198,7.731,-12.88,-25.96,0.03,0.03,1.13,1.7749523509116738,3.0717669598299886,2.6616571615324998,0.33647223662121295,5.906723318652891,2.0228711901914416,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.807550983831435,1.0986122886681098,4724.3,159.78,157.28,2.5,8756.53,5778.82,2977.71,434.46,389.27,3465.85,1856.86,4948.31,13499.01,8.460474680804674,5.073797869053896,5.058027656398856,0.9162907318741551,9.077554986733231,8.66195478857538,7.998909827709659,6.074103880628784,5.964273190254786,8.150713191785675,7.526642168096059,8.506801383126245,9.510371628404167,-5.162008164665234,1.9362403202601772,2.1936820892269235,-4.50808169725857,5.540167452436702,0.18599731540233022,-0.6658615563124359,-2.9684466493064816,-2.9684466493064816,6.4167575395230685,-2.888888861798322,0.3964884392930337,0.6393879840686036,-5.370456610320808,4.400245556972369,3.4734037620248124,-0.3408033103887904,1.286963760493923,1.3967944508679215,-2.993135171212745,17176.94,2.5,0.5,28.93,0.6,2.5,11.33,16.9,40.46,20805.17,1116.3,261.83,16.0,668.29,333.6,46.62,38.17
AV3-1,7.186,6.322,7.095,-17.97,-29.75,0.05,0.03,0.68,1.7047480922384253,2.738902664584975,2.3683728335320486,0.4054651081081644,5.915015374944575,1.958685340544036,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.482470101790892,1.0986122886681098,4766.4,441.2,383.02,58.18,1237.91,1212.91,25.0,393.94,360.39,478.12,1851.3,4895.21,9712.57,8.469346581959018,6.089498287379348,5.948087207138413,4.063541653067055,7.121179752702083,7.1007777099836265,3.2188758248682006,5.976198613437549,5.887186778401394,6.16986174700978,7.523643373995131,8.496012454963697,9.181176201857138,-2.4277571209844315,2.151690660272812,2.15437620557909,-5.182690907985492,3.304381163118025,-0.5030449291117778,1.8306126584453102,1.3057087961616483,-3.619223355741636,0.9859468302464554,-1.7432494608730766,2.087615621041408,2.034722536434314,-4.695029846897885,3.119297086364143,2.1679790806718406,-0.9117497173624645,1.8853041120634542,1.9743159470996092,-5.9192053585413404,17235.53,2.5,0.5,17.56,0.5,2.5,11.18,17.56,44.81,20309.38,1006.99,247.5,17.86,485.13,336.93,47.9,36.83
AV3-7,6.776,5.233,6.474,0.59,-24.86,0.02,0.06,3.27,1.5686159179138452,2.3589654264301534,2.431857428698185,0.4054651081081644,5.944215694507371,2.377692565480851,0.9162907318741551,1.3862943611198906,0.9162907318741551,4.170842533194826,1.0986122886681098,860.2,101.96,49.26,52.69,50.0,25.0,25.0,96.64,26.17,64.91,896.91,2838.32,9380.24,6.757164920349636,4.6245805795079145,3.897112392692392,3.9644256842211942,3.912023005428146,3.2188758248682006,3.2188758248682006,4.570992734186505,3.2646137165420543,4.173001695045377,6.798955522576798,7.950967606825161,9.14636062802689,-2.500856561885406,3.4364766593335405,-1.846930094478742,-1.846930094478742,2.7582400915093492,0.34390293710859154,2.775771753231643,-2.5749482921094415,-2.5749482921094415,2.0302218938786494,-0.19026410579234532,2.8761718556690195,-2.4415559043988404,-2.4415559043988404,2.1636142815892505,2.424592971206482,0.5400774447756487,1.5162049927031591,2.82258401034761,-7.269869641701141,15099.8,2.5,0.5,21.76,0.9,2.5,9.68,13.57,11.28,16716.57,1624.75,684.03,11.28,47.9,406.99,25.15,49.0
BP1-1,7.845,7.175,7.608,-3.97,-29.64,0.08,0.03,0.35,1.9021075263969205,1.9960599327407849,2.3456445824544927,0.09531017980432487,5.907811162110729,1.7867469274045107,0.9162907318741551,1.3862943611198906,0.9162907318741551,2.933324813425374,1.0986122886681098,11330.6,942.7,838.83,103.88,4963.79,3951.17,1012.62,2932.99,61.12,1210.19,4463.22,3220.68,7628.23,9.33526230937188,6.848748098402105,6.732008063767312,4.643236386794547,8.509924840836563,8.281767016567503,6.920296310476448,7.983777659493289,4.112839144858265,7.098532651057073,8.40362575761108,8.077347796367293,8.939611118337062,-5.6712827708901905,3.1009461214036764,2.9369878787661716,-5.017356303483526,4.650705074203868,-4.382149629509401,2.3013075858117005,1.2306976963068395,-3.7282231621027373,4.578367509493601,-5.28250950101098,2.952532958511015,2.7206395594638852,-4.589362320451035,4.613709700945473,3.202317511165983,1.2730180732454093,0.2166240049671755,4.0875625196022,-9.194532506439126,12107.36,2.5,0.5,20.18,0.5,2.5,9.34,12.62,42.94,16848.91,820.97,201.99,14.21,450.2,310.64,55.47,27.34
BP1-8,9.258,7.543,8.024,4.85,-19.49,0.02,0.15,9.46,2.1041341542702074,1.252762968495368,2.509599262378372,0.18232155679395465,6.042395275776525,2.1041341542702074,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.648057459593681,1.0986122886681098,540.4,190.87,136.12,54.75,50.0,25.0,25.0,300.15,2.56,7.44,1413.0,4290.0,9215.0,6.292309606086044,5.251592568041801,4.913536849632705,4.00277736869661,3.912023005428146,3.2188758248682006,3.2188758248682006,5.704282349697852,0.9400072584914712,2.0068708488450007,7.253470382684528,8.364042011922063,9.128587870103924,0.8979375827701968,2.6259485872162553,-0.7812911089018628,-3.6738826235363407,0.9312875624517507,1.4224845120519256,2.5348901228523713,-2.8541816069641293,-2.8541816069641293,1.7509885790239617,1.5675277887803158,3.077174181771488,-0.6141707180269842,-2.867565566830258,1.7376046191578332,-0.16754753742531214,2.667403701056781,-1.2344111277788417,3.5298639634275393,-7.695879304132559,16090.0,2.5,0.5,28.4,0.7,2.5,10.0,16.6,32.0,20620.0,1169.0,304.1,15.5,694.6,277.7,38.1,41.9
BP2-1,7.13,6.351,6.977,-7.47,-28.21,0.02,0.04,2.22,1.33500106673234,1.252762968495368,2.238579763018133,0.33647223662121295,5.823134648940764,1.8389610707123492,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.0233474405869645,1.0986122886681098,3270.1,366.36,303.9,62.47,2359.71,1808.23,551.47,564.34,155.85,591.45,1441.12,2880.24,5830.34,8.092575844463465,5.903616456534786,5.716698699922747,4.134686441505479,7.766294009113191,7.5001037452506925,6.31258744011516,6.335656906744333,5.048894006213346,6.3825771489917456,7.273175868035433,7.965628902991296,8.6708305966835,-1.4327963652287652,1.9664286292061859,0.8530984933249015,-5.136564431836452,3.749833674534131,0.11454250369243102,1.4119064083915607,-1.007181924851427,-4.109074394233809,3.589807407001242,-0.4091534183434571,2.1905110409680093,0.9445623393790683,-4.4062525961267225,4.053188593546414,2.6694717334249685,-0.1715665493515499,1.335788590646569,2.622551491177556,-8.829101225320859,8608.78,2.5,0.5,20.46,0.4,2.5,10.58,14.57,49.1,23463.07,643.21,189.02,14.37,233.73,514.47,157.39,37.23
BP3-1,7.415,6.891,7.363,-8.01,-26.82,0.06,0.02,0.38,1.8870696490323797,1.252762968495368,2.2741856184723477,0.09531017980432487,6.093750340648732,1.6695918352538475,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.5743099993708003,1.0986122886681098,11460.2,1149.52,1055.25,94.28,14548.75,7601.15,6947.6,2195.3,688.89,5143.14,3526.05,4803.61,14008.02,9.346635442123427,7.047099742920951,6.961532984662608,4.5462690780679305,9.585260358256185,8.936054830616817,8.846151555179858,7.694073990429877,6.535081606598888,8.545419066870489,8.167933543231637,8.477122997556366,9.547385301720237,-1.9815911935002943,2.225644338894784,1.6779636766442296,-6.122183006887715,4.200166184848992,-0.7435788964509036,0.8271606153805551,-0.10522198761486923,-5.105402823807266,5.1270430924924835,-1.8760604960880136,1.606873036892642,1.032660400476348,-6.133373886588254,4.145033652227877,3.10519236084218,-1.8388132776956483,1.0948549005705797,2.2538472844015685,-3.390213975039285,13947.9,2.5,0.5,26.65,0.4,2.5,9.12,13.43,38.88,17855.71,1309.62,213.63,14.83,336.47,246.49,40.68,29.26
BP3-8,9.021,7.394,7.822,-2.93,-23.94,0.02,0.44,25.19,2.151762203259462,1.252762968495368,2.318458442150336,0.4054651081081644,6.009009726323731,1.8991179875485542,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.68987895444702,1.0986122886681098,168.3,180.58,178.08,2.5,50.0,25.0,25.0,78.84,12.97,36.34,1061.75,4441.24,9806.77,5.12574810119676,5.196173892879333,5.182232887527235,0.9162907318741551,3.912023005428146,3.2188758248682006,3.2188758248682006,4.367420482284519,2.5626389983283526,3.592919062968025,6.9676737691933806,8.39868889571435,9.19082824248143,-2.7578806608523747,4.464573055201415,-2.1039541934457104,-2.1039541934457104,2.501215992542381,1.7377612478812785,0.14120596127819185,-2.161379131715854,-2.161379131715854,2.4437910542722374,0.4847619168188433,3.158412296338869,-2.7309087771004092,-2.7309087771004092,1.8742614088876821,1.5551574664275614,3.0939106925986257,0.5248774017878888,2.329658885744055,-7.55922251440271,16354.58,2.5,0.5,26.69,0.5,2.5,10.46,14.44,36.95,20059.76,1161.35,257.27,15.94,656.37,297.11,35.36,40.14
BPS-1,8.323,7.505,7.741,-14.96,-27.04,0.01,0.02,3.62,0.9932517730102833,1.252762968495368,1.4327007339340463,0.09531017980432487,5.376388901968192,0.9162907318741551,0.9162907318741551,1.3862943611198906,0.9162907318741551,2.7813006628418027,1.0986122886681098,205.1,56.13,53.63,2.5,50.0,25.0,25.0,53.78,9.61,16.86,762.95,3008.96,5557.77,5.323497665078335,4.027670428954108,3.9821086129948338,0.9162907318741551,3.912023005428146,3.2188758248682006,3.2188758248682006,3.9849016508407185,2.262804222982201,2.8249439525737094,6.637192498337745,8.009349783088712,8.622952227654187,-2.5178558059458944,3.504473635575494,-1.8639293385392302,-1.8639293385392302,2.7412408474488608,-1.9046922297217586,1.0518193306789512,-1.2507657623150945,-1.2507657623150945,3.354404423672997,-2.827130103439102,2.5868346866348966,-2.133982922879157,-2.133982922879157,2.471187263108934,1.3841082102544977,1.4611351514203048,0.8219684806629894,2.5440659085215067,-4.174203751405711,8969.12,2.5,0.5,14.94,0.5,2.5,5.58,9.36,6.97,8985.06,841.83,104.08,9.06,123.31,285.66,16.14,11.95
BPS-18,7.567,7.359,7.545,-17.01,-11.1,0.03,0.04,1.45,1.0986122886681098,4.776852007677701,2.66374994220563,0.4054651081081644,5.624739267315748,0.9162907318741551,0.9162907318741551,1.3862943611198906,0.9162907318741551,2.9668182633893485,1.0986122886681098,5730.9,1620.5,1493.56,126.94,12690.24,6126.52,6563.72,794.87,302.85,5950.03,1256.97,3385.46,5469.12,8.653627865437716,7.390490022581602,7.30891781093692,4.843714533878324,9.448588473059145,8.720382167890824,8.789312794383635,6.678178579270571,5.713237633426957,8.691151540543771,7.136459341956993,8.127245069762118,8.606873004960141,-3.018175675316235,3.127591325815004,0.919149512974129,-5.567620846241807,4.5390556827689075,-4.686581471408765,2.1973538909961143,0.3789304329133256,-4.0326550040021,6.142952151501426,-3.881575940586394,2.3059417780028557,0.13418464262644747,-5.777695425138692,4.364040228480398,3.6066032959650247,-0.41555854587770114,0.6286893888482101,1.5936303346918246,-2.5582597570119767,7966.14,9.76,92.53,12.95,0.5,2.5,6.57,13.94,11.95,10896.41,1118.53,119.32,11.35,126.69,332.77,26.69,17.43
BPS-22,7.751,7.453,7.715,-17.33,-10.48,0.02,0.06,3.72,1.2237754316221157,3.710151589389476,2.794839331174601,0.5877866649021191,5.398524626965062,0.9162907318741551,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.7812307151781224,1.0986122886681098,5831.4,1622.84,1476.73,146.11,13522.01,6993.48,6528.53,998.98,255.24,6037.01,1486.95,3292.17,23975.9,8.67101238773748,7.391932979783754,7.297585462841867,4.984359762683993,9.512074007185921,8.852733565416885,8.783937082073807,6.90673475842813,5.5422042790001464,8.705664135246934,7.304482321147016,8.099302200803862,10.084804438150297,-2.887723100228401,3.1457356354677826,0.5792479152117975,-5.538144188493975,4.700883738042801,-1.9844472026500062,1.9147232916980177,-1.1886458680299776,-4.4559308321058655,5.7143006110878325,-3.2155692132090397,2.3045615896731233,-0.30004632788568397,-5.780518570670576,4.42470261707529,3.618292745136303,-0.6761500971574739,0.45483288888951545,1.8193633683174992,-2.649469000168956,7729.92,2.5,13.55,12.05,0.5,2.5,4.52,10.74,2.71,8136.55,1014.06,96.08,8.43,122.19,254.52,13.65,13.45
BPS-25,8.044,7.693,7.814,-13.34,-16.46,0.01,0.04,4.79,0.8754687373538999,3.1445832202863455,2.8920370372152258,0.09531017980432487,5.528635121610247,0.9162907318741551,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.9776234625120948,1.0986122886681098,1620.8,412.05,367.18,44.88,1957.85,1932.85,25.0,653.95,124.47,239.54,1683.27,3669.32,30039.84,7.390675133494419,6.021144701209392,5.90585219103206,3.803992261214441,7.579602211371379,7.5667508766111915,3.2188758248682006,6.483030895935161,4.824064723012886,5.4787204175193605,7.428493609131128,8.207761637777484,10.310279779632195,-2.059278808395656,2.9144093016059585,-1.0527012298494005,-4.377737250545992,4.57530798718509,-0.788574364385393,2.152527941682008,0.10639359801994086,-3.037758680652323,1.5674115053357678,-2.2241499405367318,2.2077595555560796,-1.2678538740488778,-4.506532326213258,3.766217065718066,1.6653352718660477,0.24152534732338093,1.0106795773595731,2.6696457502818483,-3.56262642730613,9883.47,2.5,6.97,13.94,0.5,2.5,5.88,10.76,16.73,10368.53,797.31,120.82,10.76,123.9,245.72,14.64,15.34
BPS-5,7.966,7.853,7.702,-11.9,-15.34,0.01,0.05,4.1,0.9162907318741551,2.6864860231863696,2.412335956953165,0.09531017980432487,5.281018601969707,0.9162907318741551,0.9162907318741551,1.3862943611198906,0.9162907318741551,2.9290581402859983,1.0986122886681098,3179.0,1281.61,1170.7,110.91,50.0,25.0,25.0,251.0,82.02,925.1,1002.52,2923.54,6485.92,8.064321960910803,7.15587237903022,7.065357139485627,4.70871906161665,3.912023005428146,3.2188758248682006,3.2188758248682006,5.5254529391317835,4.406963119963913,6.829901839777273,6.910272109106411,7.980550489752328,8.777388952532792,-0.8886282893082846,4.007675149807819,1.1637356551077689,-4.443976350797699,0.16119383519039276,-2.6631778956702576,4.085761994472947,-2.0092514282635934,-2.0092514282635934,2.5959187577244975,-1.6580762876060606,3.3139945344200807,0.38320253960101613,-4.535025025170085,0.07014516081800659,2.9880239951671337,0.20240073993847751,0.5650852753537734,1.683575094521644,-3.013326027043991,8557.34,2.5,2.11,11.07,0.5,2.5,5.03,7.34,21.83,8636.82,790.54,88.53,10.06,111.67,231.69,18.31,11.37
BS-607,7.331,5.537,6.653,-11.46,-32.61,0.01,0.04,5.03,1.8870696490323797,1.252762968495368,3.2208738275308737,0.33647223662121295,6.268433185117099,0.9162907318741551,0.9162907318741551,1.3862943611198906,0.9162907318741551,2.519308076505333,1.0986122886681098,38.1,5.0,2.5,2.5,50.0,25.0,25.0,18.42,8.04,12.38,537.37,4928.86,4476.95,3.6402142821326553,1.6094379124341003,0.9162907318741551,0.9162907318741551,3.912023005428146,3.2188758248682006,3.2188758248682006,2.913437030827161,2.0844290831908747,2.5160822672564502,6.286686870283742,8.502863002974749,8.406697289985614,-1.9046922297217586,1.0518193306789512,-1.2507657623150945,-1.2507657623150945,3.354404423672997,-1.9046922297217586,1.0518193306789512,-1.2507657623150945,-1.2507657623150945,3.354404423672997,-2.3887189689751103,0.6070133045788806,-1.6955717884151649,-1.6955717884151649,2.9095983975729265,1.5136576594012305,2.5312619568530144,1.082004475335655,1.9110124229719412,-4.774685670908207,8273.55,2.5,0.5,10.72,0.5,2.5,10.32,14.83,55.11,18857.72,266.13,208.02,15.23,118.84,151.1,50.6,22.75
BS-610,7.978,5.824,6.795,-10.45,-32.5,0.01,0.05,4.22,1.8562979903656263,1.252762968495368,3.4031953843248286,0.5306282510621704,6.282397579458549,0.9162907318741551,1.6114359150967734,1.3862943611198906,0.9162907318741551,2.574137783515943,1.0986122886681098,41.4,184.36,127.2,57.16,50.0,25.0,25.0,68.76,4.8,6.84,635.47,2248.5,4500.0,3.7232808808312687,5.216890367852308,4.845760650906022,4.045854353061666,3.912023005428146,3.2188758248682006,3.2188758248682006,4.230622180514649,1.5686159179138452,1.922787731634459,6.454364882591545,7.718018606210762,8.411832675758411,-0.04485146791702843,3.533961579501669,-2.698093432524243,-2.698093432524243,1.9070767534638478,0.5841061867473416,2.77679244245231,-2.6553562717292474,-2.6553562717292474,1.9498139142588438,0.45573422460482305,3.37706411440005,-2.532973434012203,-2.532973434012203,2.0721967519758877,0.08296147818220101,3.1410368823103276,-0.2712103355384128,2.390795927062391,-6.182632174972858,6731.46,2.5,0.5,6.51,0.3,2.5,8.32,10.12,43.69,16182.36,371.74,151.4,9.22,191.48,210.12,51.1,20.14
BS-618,7.857,5.823,6.802,-11.6,-33.84,0.01,0.05,5.4,1.840549633397487,1.252762968495368,3.369362658142137,0.26236426446749106,5.786437152778389,0.9162907318741551,0.9162907318741551,1.3862943611198906,0.9162907318741551,2.2321626286975,1.0986122886681098,37.2,101.71,63.26,38.45,50.0,25.0,25.0,34.65,6.75,16.47,421.44,2971.94,3131.26,3.616308761279101,4.622125626637505,4.147253217877503,3.649358695951653,3.912023005428146,3.2188758248682006,3.2188758248682006,3.5452977256359124,1.9095425048844386,2.8015405441895487,6.043677418554916,7.996970217208558,8.049190758440849,0.6160056320279523,2.844866729744034,-2.688680849253359,-2.688680849253359,1.916489336734732,-2.4513058225372584,3.2382737019409493,-1.797379355130594,-1.797379355130594,2.807790830857497,0.1885771486715535,2.8734010007903454,-2.441871806407105,-2.441871806407105,2.1632983795809864,1.052815918342389,2.4143683335360353,0.16081787903727895,1.7965730997887528,-5.7661081469331315,5595.19,2.5,0.5,7.31,0.3,2.5,7.01,10.32,27.25,12394.79,208.82,131.46,9.12,135.27,146.69,33.57,13.43
CB-CMBjA1,6.175,4.603,5.107,-2.47,-26.75,0.02,0.07,3.82,1.3609765531356006,1.252762968495368,2.372111155642656,0.18232155679395465,7.030822108558777,1.9810014688665833,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.250374491927572,1.0986122886681098,48.1,62.8,60.3,2.5,50.0,25.0,25.0,48.06,11.4,72.13,1241.07,3534.72,7135.91,3.8732821771117156,4.139955073474153,4.09933210373314,0.9162907318741551,3.912023005428146,3.2188758248682006,3.2188758248682006,3.872450230308323,2.4336133554004498,4.278470046515581,7.123729189737935,8.170389367272769,8.872895062072688,-3.3019206237343472,2.837632308525347,1.155106441876276,-2.647994156327683,1.957176029660408,0.9621229210431294,0.33511554298772916,-1.9674695500063164,-1.9674695500063164,2.6377006359817745,-0.8852251467312628,1.68403284262522,-0.017059519562339087,-3.149069411408878,1.4561007745792134,1.8225478156666486,2.0813972882309844,-0.022308875448482812,1.4165279994593902,-4.386943767410495,10962.3,19.15,0.5,25.3,0.3,2.5,8.63,24.6,27.38,17817.46,831.25,236.01,19.25,143.15,155.16,25.79,26.29
CB-iH5,6.093,4.437,4.488,0.07,-21.51,0.01,0.03,2.82,1.252762968495368,1.252762968495368,3.3375473545856993,0.33647223662121295,6.226516906246328,2.127040520479115,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.0754672415728446,1.0986122886681098,12.6,40.21,37.71,2.5,50.0,25.0,25.0,49.4,11.59,81.78,839.22,5789.42,7189.62,2.533696813957432,3.6941157209091826,3.6299253112702656,0.9162907318741551,3.912023005428146,3.2188758248682006,3.2188758248682006,3.899950424193877,2.4501426573516603,4.404032714936497,6.7324728890192675,8.663787392837849,8.880393598136221,-2.9973854926244137,2.6727606471724066,0.40637270989941543,-2.34345902521775,2.2617111607703415,-1.9046922297217586,1.0518193306789512,-1.2507657623150945,-1.2507657623150945,3.354404423672997,-3.3288918371343783,1.751518244894695,-0.5170824017413156,-2.635744656574433,1.9694255294136584,2.461435238922009,1.8564807703975243,0.5075451813371727,1.9573529481793894,-4.022039017694324,13662.67,2.5,0.5,43.31,0.2,2.5,10.38,24.55,23.05,18602.79,2579.84,322.75,16.47,167.27,753.29,32.53,40.52
CK-20B,5.776,4.35,4.671,2.81,-22.04,0.01,0.04,4.48,1.6094379124341003,1.252762968495368,3.5751506887855933,0.18232155679395465,6.496473285552407,2.580216829592325,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.703768066607687,1.0986122886681098,15.3,132.89,86.01,46.88,50.0,25.0,25.0,34.98,5.16,72.2,330.7,13290.0,23960.0,2.72785282839839,4.889521718343416,4.454463568563388,3.8475911452687575,3.912023005428146,3.2188758248682006,3.2188758248682006,3.554776469590456,1.6409365794934714,4.279440045898781,5.801211619987747,9.494767151707292,10.084141052229386,-0.44999975577817175,3.3417758397099795,-2.498982089973299,-2.498982089973299,2.106188096014792,-2.490952312400679,3.396859661394633,-1.837025844994015,-1.837025844994015,2.768144340994076,-1.3453712061905214,2.816601904875617,-2.7660669940277445,-2.7660669940277445,1.8391031919603469,2.206520232430982,2.5989740045632,-0.4319832339743277,1.4818566561226567,-3.6335675617324674,17390.0,2.5,0.5,82.5,0.3,2.5,14.7,57.8,17.2,30250.0,13900.0,482.5,22.2,305.6,1115.0,50.5,78.9
CK1-100B,6.293,4.721,5.348,-3.28,2.28,0.02,0.56,34.45,1.252762968495368,1.252762968495368,3.6336309798834576,0.4700036292457355,6.6182181536498765,2.3085671646715933,0.9162907318741551,1.3862943611198906,0.9162907318741551,2.1713368063840917,1.0986122886681098,36.0,46.53,44.03,2.5,50.0,25.0,25.0,7.2,1.47,14.78,219.72,9781.87,3039.84,3.58351893845611,3.8400972658565573,3.7848712197676626,0.9162907318741551,3.912023005428146,3.2188758248682006,3.2188758248682006,1.9740810260220096,0.3852624007906449,2.6932749155200555,5.3923540084744195,9.188285951295189,8.01956016143623,-2.47840832730046,3.346683720993757,-1.8244818598937962,-1.8244818598937962,2.780688326094295,-1.9046922297217586,1.0518193306789512,-1.2507657623150945,-1.2507657623150945,3.354404423672997,-2.4911482930986812,2.735243333877767,-1.7980011125387358,-1.7980011125387358,2.807169073449355,1.5884209835412648,2.8119575901811524,-0.7195915311881458,0.869227094043219,-4.005276025728457,10886.45,2.5,0.5,65.34,0.2,2.5,11.45,43.73,7.27,24950.2,10986.06,368.73,17.73,201.29,1340.64,40.14,64.84
CK2-100A,8.478,7.648,7.752,-5.34,5.11,0.02,1.51,85.92,1.8718021769015913,1.252762968495368,3.7003138317395994,0.09531017980432487,6.384300238816005,2.545531271604435,0.9162907318741551,1.3862943611198906,0.9162907318741551,4.216119619148022,1.0986122886681098,272.2,113.28,47.36,65.92,50.0,25.0,25.0,20.48,6.12,85.58,316.57,13965.86,59899.6,5.6065370902173655,4.729862629945409,3.8577779905757503,4.188441885601216,3.912023005428146,3.2188758248682006,3.2188758248682006,3.019448800171307,1.8115620965242347,4.449451610988671,5.7575443861663,9.5443710590109,11.000425106284917,0.48533768069812044,2.6604272971001777,-2.583645054595463,-2.583645054595463,2.021525131392628,-2.559122460467171,3.6695402536606,-1.9051959930605067,-1.9051959930605067,2.6999741929275842,-0.37371213144728666,2.6514024062596975,-2.7716074042456573,-2.7716074042456573,1.833562781742434,2.370991387302959,1.7933655919910212,-0.2668981271614772,0.9409885764855952,-3.4064856766816267,17359.44,2.5,0.5,84.24,0.4,2.5,14.66,60.14,21.79,31034.14,13865.46,490.66,22.99,340.36,1039.16,52.81,81.22
