sample_id,sample_location,acbr,litho,lat,lon,proj_x_epsg3031,proj_y_epsg3031,wgs84_elev_from_pgc,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_dem,region_tm,region_svl,region_nvl,region_nwap
SH2-1,Shackleton Glacier,Transantarctic Mountains,s,-85.35905,-175.0787333,-43250.869727311416,-502308.7376800515,2083.0,89.0,41.6,-36.24,9.4,100.7,1,0,0,0
SH3-2,Shackleton Glacier,Transantarctic Mountains,s,-85.3597,-175.0693,-43327.494227208925,-502231.17875463003,2092.0,89.0,41.6,-36.24,13.7,50.6,1,0,0,0
SH3-8,Shackleton Glacier,Transantarctic Mountains,c,-85.35691667,-175.1621,-42539.520873314104,-502602.32765519596,2013.0,89.0,41.6,-36.24,3.1,327.8,1,0,0,0
TGV1-1,Shackleton Glacier,Transantarctic Mountains,g,-84.92033333,-176.9902,-28977.92166670782,-551128.0217999573,1180.0,42.9,87.9,-30.55,22.5,180.4,1,0,0,0
TGV1-8,Shackleton Glacier,Transantarctic Mountains,c,-84.91536667,-176.8791333,-30075.63489823625,-551610.3605291916,870.0,42.1,87.9,-30.55,11.7,205.7,1,0,0,0
TGV2-1,Shackleton Glacier,Transantarctic Mountains,c,-84.91903333,-177.06025,-28311.342859221084,-551304.285790986,1064.0,42.9,87.9,-30.55,19.4,170.7,1,0,0,0
TGV3-1,Shackleton Glacier,Transantarctic Mountains,g,-84.90956667,-177.0217333,-28735.459238499046,-552313.667946143,1202.0,41.8,87.9,-30.55,10.7,356.0,1,0,0,0
TGV3-9,Shackleton Glacier,Transantarctic Mountains,c,-84.91368333,-176.8831667,-30046.76130825457,-551795.3452307897,870.0,41.9,87.9,-30.55,2.3,299.3,1,0,0,0
TN1-1,Shackleton Glacier,Transantarctic Mountains,w,-84.92571667,-176.0692333,-37792.42524849188,-550006.7563145013,1088.0,42.0,87.9,-30.55,8.1,136.1,1,0,0,0
TN1-8,Shackleton Glacier,Transantarctic Mountains,w,-84.91481667,-176.1509167,-37087.87866280216,-551243.2661681989,837.0,40.9,87.9,-30.55,10.6,204.5,1,0,0,0
TN2-1,Shackleton Glacier,Transantarctic Mountains,w,-84.92381667,-176.0987667,-37522.98032882917,-550232.3942536619,982.0,41.8,87.9,-30.55,10.7,166.3,1,0,0,0
TN3-1,Shackleton Glacier,Transantarctic Mountains,w,-84.92271667,-176.1242333,-37286.50070028984,-550368.4184443395,1050.0,41.7,87.9,-30.55,21.7,232.1,1,0,0,0
TN3-5,Shackleton Glacier,Transantarctic Mountains,w,-84.9182,-176.1281667,-37281.89847259594,-550861.2462431273,893.0,41.2,87.9,-30.55,25.8,235.6,1,0,0,0
VV-0,Virginia Valley,South Victoria Land,c,-77.4934,160.85305,447220.78813219996,-1288082.0217223603,1490.72,62.6,37.0,-31.26,9.6,151.6,0,1,0,0
VV-d,Virginia Valley,South Victoria Land,c,-77.4934,160.85305,447220.78813219996,-1288082.0217223603,1490.72,62.6,37.0,-31.26,9.6,151.6,0,1,0,0
VV-J,Virginia Valley,South Victoria Land,c,-77.4934,160.85305,447220.78813219996,-1288082.0217223603,1490.72,62.6,37.0,-31.26,9.6,151.6,0,1,0,0
VV-L,Virginia Valley,South Victoria Land,c,-77.4934,160.85305,447220.78813219996,-1288082.0217223603,1490.72,62.6,37.0,-31.26,9.6,151.6,0,1,0,0
WV-BA 1,Wall Valley: Recon,South Victoria Land,s,-77.49556,160.87517,446645.6754845654,-1288030.2428309578,1683.36,62.5,37.0,-31.26,56.1,80.1,0,1,0,0
WV-UNN 1,Wall Valley: Recon,South Victoria Land,c,-77.48,160.85,447772.5825659125,-1289449.7615085023,1423.02,61.4,37.0,-31.26,5.3,149.5,0,1,0,0
WV-UNN 3,Wall Valley: Recon,South Victoria Land,c,-77.48,160.85,447772.5825659125,-1289449.7615085023,1423.02,61.4,37.0,-31.26,5.3,149.5,0,1,0,0
WV-UNN-2,Wall Valley: Recon,South Victoria Land,c,-77.48,160.85,447772.5825659125,-1289449.7615085023,1423.02,61.4,37.0,-31.26,5.3,149.5,0,1,0,0
WV-ZS 2,Wall Valley: Recon,South Victoria Land,s,-77.498933,160.849133,447109.3117372432,-1287476.8736625416,1547.19,63.2,37.0,-31.26,39.9,351.7,0,1,0,0
