grid_id,lat,lon,proj_x_epsg3031,proj_y_epsg3031,wgs84_elev_from_pgc,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_dem,litho,acbr,region_tm,region_svl,region_nvl,region_nwap
GRID_11341,-83.146,156.828,293184.2915051522,-684974.4908403716,1780.76,87488.77,19.174,-40.22,23.03829956,9.761699677,n,Transantarctic Mountains,1,0,0,0
GRID_11342,-83.196,157.235,286202.82284196536,-682015.5412442407,1857.85,88591.46,19.174,-40.22,21.03639984,314.696991,n,Transantarctic Mountains,1,0,0,0
GRID_11343,-83.193,157.164,287174.61989802506,-681961.6520705352,1975.38,88867.7,19.174,-40.22,19.36969948,126.3470001,n,Transantarctic Mountains,1,0,0,0
GRID_11344,-83.205,157.205,286179.9121736634,-680961.4492149148,1994.84,89554.44,19.174,-40.22,6.944429874,222.8869934,n,Transantarctic Mountains,1,0,0,0
GRID_11345,-83.201,157.134,287192.903274966,-681007.9276856335,2085.13,89827.72,19.174,-40.22,9.32583046,271.6520081,n,Transantarctic Mountains,1,0,0,0
GRID_11346,-83.197,157.062,288218.33606299665,-681047.9121204728,1870.44,90111.27,19.174,-40.22,27.25099945,111.1760025,n,Transantarctic Mountains,1,0,0,0
GRID_11347,-83.21,157.104,287167.873725937,-679953.9934751487,2135.43,90788.6,16.495,-40.846,5.525680065,266.9389954,n,Transantarctic Mountains,1,0,0,0
GRID_11348,-83.202,156.961,289205.1929711372,-680037.3892535694,1909.13,91348.49,16.495,-40.846,33.8484993,161.473999,n,Transantarctic Mountains,1,0,0,0
GRID_11349,-83.218,157.073,287196.12187753513,-678995.6303722098,2141.14,91750.32,16.495,-40.846,17.94499969,277.8590088,n,Transantarctic Mountains,1,0,0,0
GRID_11350,-83.214,157.002,288207.5986445482,-679040.4541876443,2042.54,92027.95,16.495,-40.846,39.70190048,50.33840179,n,Transantarctic Mountains,1,0,0,0
GRID_11351,-83.211,156.931,289176.9291851188,-678983.5587377682,1715.82,92310.18,16.495,-40.846,24.37649918,81.88700104,n,Transantarctic Mountains,1,0,0,0
GRID_11352,-83.234,157.187,285168.5778488822,-677958.6039298612,1717.12,92193.44,16.495,-40.846,12.19369984,202.0299988,n,Transantarctic Mountains,1,0,0,0
GRID_11353,-83.23,157.115,286189.80292873597,-678001.277326073,1877.96,92448.1,16.495,-40.846,7.639530182,79.13800049,n,Transantarctic Mountains,1,0,0,0
GRID_11354,-83.223,156.972,288179.4637349553,-677986.8830455057,2033.61,92987.6,16.495,-40.846,5.452400208,37.10990143,n,Transantarctic Mountains,1,0,0,0
GRID_11355,-83.219,156.9,289202.2296425065,-678025.1386904867,1764.03,93272.27,16.495,-40.846,35.78720093,119.1900024,n,Transantarctic Mountains,1,0,0,0
GRID_11356,-83.242,157.156,285196.91885215865,-677000.8524465006,2148.89,93162.12,16.495,-40.846,16.78070068,167.2140045,n,Transantarctic Mountains,1,0,0,0
GRID_11357,-83.243,156.982,287208.9580257657,-676031.3343994825,1866.8,94640.24,16.495,-40.846,25.18510056,47.47520065,g,Transantarctic Mountains,1,0,0,0
GRID_11358,-83.24,156.911,288174.66146801534,-675975.6246586301,1591.47,94909.41,16.495,-40.846,17.4836998,109.262001,c,Transantarctic Mountains,1,0,0,0
GRID_11359,-83.252,156.952,287178.94459783775,-674978.4486147935,1983.21,95605.05,16.495,-40.846,29.64259911,74.97399902,g,Transantarctic Mountains,1,0,0,0
GRID_11360,-83.267,157.065,285210.249873922,-674038.2582879754,2459.31,96072.03,16.495,-40.846,9.515099525,335.769989,g,Transantarctic Mountains,1,0,0,0
GRID_11361,-83.257,156.849,288177.680236607,-673960.1484120002,2029.65,96834.39,16.495,-40.846,41.50899887,89.94760132,g,Transantarctic Mountains,1,0,0,0
GRID_11362,-83.253,156.778,289184.4765064282,-674003.0741553098,1691.19,97107.78,16.495,-40.846,33.41080093,88.83979797,n,Transantarctic Mountains,1,0,0,0
GRID_11363,-83.276,157.035,285180.51062074065,-672985.8872226457,2378.67,97043.21,16.495,-40.846,7.778999805,94.23539734,g,Transantarctic Mountains,1,0,0,0
GRID_11364,-83.269,156.891,287170.36776521493,-672968.5637487898,2221.68,97536.81,16.495,-40.846,4.969560146,126.7300034,g,Transantarctic Mountains,1,0,0,0
GRID_11365,-83.265,156.819,288187.3864358212,-673007.8295135826,2000.95,97798.01,16.495,-40.846,12.27680016,166.3419952,g,Transantarctic Mountains,1,0,0,0
GRID_11366,-83.285,156.829,287212.43502379255,-671054.655101641,2114.68,99471.26,16.495,-40.846,8.432330132,68.89800262,g,Transantarctic Mountains,1,0,0,0
GRID_11367,-83.278,156.685,289199.94949764654,-671031.1433775751,2186.51,99992.87,16.495,-40.846,16.00900078,255.5690002,g,Transantarctic Mountains,1,0,0,0
GRID_11368,-83.275,156.613,290172.7180931504,-670967.2261144898,1921.46,100267.62,16.495,-40.846,17.96240044,25.46820068,g,Transantarctic Mountains,1,0,0,0
GRID_11369,-83.298,156.87,286175.741434561,-669957.3820446734,2332.74,100195.11,16.495,-40.846,2.621639967,137.5279999,g,Transantarctic Mountains,1,0,0,0
GRID_11370,-83.299,156.695,288177.56444647175,-668980.1142906146,2056.19,101659.51,16.495,-40.846,41.09780121,102.064003,g,Transantarctic Mountains,1,0,0,0
GRID_11371,-83.295,156.623,289190.9343717539,-669017.5154842376,1897.5,101919.95,16.495,-40.846,38.3927002,178.4530029,g,Transantarctic Mountains,1,0,0,0
GRID_11372,-83.291,156.551,290204.853832814,-669053.4272820702,1918.14,102189.52,16.495,-40.846,15.72239971,83.55090332,g,Transantarctic Mountains,1,0,0,0
GRID_11373,-83.311,156.736,287182.35358314036,-667984.9561592017,2332.28,102377.66,16.495,-40.846,15.02460003,54.26039886,g,Transantarctic Mountains,1,0,0,0
GRID_11374,-83.3,156.519,290187.7465327416,-667991.8044907758,1886.05,103151.58,16.495,-40.846,32.06909943,98.20500183,g,Transantarctic Mountains,1,0,0,0
GRID_11375,-83.461,156.957,278206.88403888635,-654049.1638738832,1993.75,114401.52,16.495,-40.846,10.88220024,132.4940033,n,Transantarctic Mountains,1,0,0,0
GRID_11376,-83.591,157.176,270211.6647171411,-642055.17178364,2129.13,125531.47,16.542,-40.012,2.276000023,45.06219864,n,Transantarctic Mountains,1,0,0,0
GRID_11377,-82.782,159.472,275187.1685629059,-734926.4361586258,1494.42,34661.04,154.673,-34.362,32.23130035,227.8809967,w,Transantarctic Mountains,1,0,0,0
GRID_11378,-82.778,159.404,276212.6086403975,-735007.536083312,1542.65,34995.47,32.507,-32.94,29.22120094,32.48680115,w,Transantarctic Mountains,1,0,0,0
GRID_11379,-82.802,159.489,274205.1095408762,-732965.865132943,1777.96,36267.46,154.673,-34.362,28.38800049,212.4210052,w,Transantarctic Mountains,1,0,0,0
GRID_11380,-82.814,159.532,273197.4818289257,-731945.8130335902,1537.39,36954.1,154.673,-34.362,34.92070007,247.7510071,w,Transantarctic Mountains,1,0,0,0
GRID_11381,-82.804,159.327,276199.44776362524,-731983.6402403872,1865.01,37823.27,32.507,-32.94,32.59859848,85.59010315,w,Transantarctic Mountains,1,0,0,0
GRID_11382,-82.798,159.19,278181.29199708207,-731932.5733727374,1279.19,38512.17,32.507,-32.94,37.8205986,204.9689941,g,Transantarctic Mountains,1,0,0,0
GRID_11383,-82.819,159.438,274206.50439373095,-730986.2551968764,2025.35,38191.34,154.673,-34.362,39.89039993,290.2879944,w,Transantarctic Mountains,1,0,0,0
GRID_11384,-82.806,159.164,278203.1827781683,-730991.1438951845,1611.27,39443.98,32.507,-32.94,64.89379883,337.8200073,g,Transantarctic Mountains,1,0,0,0
GRID_11385,-82.818,159.206,277202.83373207884,-729971.875056403,2137.43,40039.68,32.507,-32.94,34.38460159,100.526001,w,Transantarctic Mountains,1,0,0,0
GRID_11386,-82.815,159.138,278185.4560201012,-729947.9820062636,1498.5,40379.05,32.507,-32.94,23.31579971,96.04859924,w,Transantarctic Mountains,1,0,0,0
GRID_11387,-82.827,159.18,277185.3214899583,-728928.923870398,1932.57,40985.5,32.507,-32.94,33.26210022,84.85639954,w,Transantarctic Mountains,1,0,0,0
GRID_11388,-82.823,159.112,278205.7125990944,-729006.8485235242,1359.8,41317.17,32.507,-32.94,29.12240028,87.76039886,w,Transantarctic Mountains,1,0,0,0
GRID_11389,-82.832,159.085,278198.9655492275,-727959.1655541088,1321.08,42258.12,32.507,-32.94,33.38439941,84.31729889,w,Transantarctic Mountains,1,0,0,0
GRID_11393,-82.925,159.194,273212.54213276395,-719010.2682997478,1523.3,49515.36,154.673,-34.362,6.518109798,95.4516983,w,Transantarctic Mountains,1,0,0,0
GRID_11394,-82.922,159.124,274207.3049966096,-718981.4861625615,1379.9,49747.29,154.673,-34.362,4.269380093,72.55760193,w,Transantarctic Mountains,1,0,0,0
GRID_11395,-82.79,159.447,275201.61774959305,-733989.636438481,1858.31,35609.25,154.673,-34.362,21.09880066,203.1329956,w,Transantarctic Mountains,1,0,0,0
GRID_11396,-82.787,159.378,276200.53712529776,-733963.7921319389,1747.91,35934.99,32.507,-32.94,32.71139908,204.0630035,w,Transantarctic Mountains,1,0,0,0
GRID_11397,-82.784,159.31,277186.983951,-733941.4449108602,1521.86,36285.19,32.507,-32.94,41.06209946,89.9190979,w,Transantarctic Mountains,1,0,0,0
GRID_11398,-82.799,159.421,275189.7784584257,-732946.1048785327,2150.58,36560.21,154.673,-34.362,28.16900063,235.0019989,w,Transantarctic Mountains,1,0,0,0
GRID_11399,-82.795,159.352,276226.0222332869,-733022.2375121104,2028.36,36877.68,32.507,-32.94,36.93289948,46.62789917,w,Transantarctic Mountains,1,0,0,0
GRID_11400,-82.792,159.284,277211.4893565493,-732999.8054396925,1426.88,37219.02,32.507,-32.94,31.28639984,49.66600037,w,Transantarctic Mountains,1,0,0,0
GRID_11401,-82.831,159.481,273199.28046646056,-729966.6361186549,1679.43,38867.83,154.673,-34.362,7.267149925,113.3119965,w,Transantarctic Mountains,1,0,0,0
GRID_11402,-82.843,159.524,272193.74791631504,-728945.9343465323,1884.03,39563.08,154.673,-34.362,35.63040161,228.1719971,w,Transantarctic Mountains,1,0,0,0
GRID_11403,-82.839,159.455,273224.4350520805,-729025.933243488,2108.77,39827.87,154.673,-34.362,15.78820038,148.1779938,w,Transantarctic Mountains,1,0,0,0
GRID_11404,-82.94,159.307,271216.2009582577,-718018.1352972516,1754.29,50092.71,154.673,-34.362,11.75419998,136.1119995,w,Transantarctic Mountains,1,0,0,0
GRID_11405,-82.949,159.28,271207.4434347602,-716972.6816872739,1708.28,51076.71,154.673,-34.362,14.6651001,54.80170059,w,Transantarctic Mountains,1,0,0,0
GRID_11406,-82.969,159.298,270211.5385062576,-715018.6033278691,1540.01,52885.83,17.914,-39.226,24.12490082,37.89910126,w,Transantarctic Mountains,1,0,0,0
GRID_11407,-82.31,155.998,340152.2284798065,-763922.6476770617,1812.55,59073.33,52.944,-35.64,34.98040009,284.5190125,w,Transantarctic Mountains,1,0,0,0
GRID_11408,-82.38,157.043,323185.33436746115,-762968.4470885622,1564.58,42550.54,52.944,-35.64,9.607580185,145.9450073,w,Transantarctic Mountains,1,0,0,0
GRID_11409,-82.376,156.98,324194.6809018142,-763014.1777828427,1600.71,43524.75,52.944,-35.64,33.71289825,298.9979858,w,Transantarctic Mountains,1,0,0,0
GRID_11410,-82.373,156.916,325175.07119484816,-762952.5955770558,1846.95,44500.09,52.944,-35.64,32.88899994,91.73239899,w,Transantarctic Mountains,1,0,0,0
GRID_11411,-82.362,156.726,328177.4117639054,-762972.2742640888,1778.56,47432.3,52.944,-35.64,31.04929924,97.23719788,w,Transantarctic Mountains,1,0,0,0
GRID_11412,-82.322,156.033,339153.7877907257,-762934.168267438,1843.77,58242.83,52.944,-35.64,39.36249924,261.0440063,w,Transantarctic Mountains,1,0,0,0
GRID_11413,-82.396,157.144,321162.0361731936,-761928.8286906191,1448.68,40853.42,52.944,-35.64,39.59220123,270.9979858,w,Transantarctic Mountains,1,0,0,0
GRID_11414,-82.364,156.418,332186.82078711793,-760997.1702063261,2097.39,51769.58,52.944,-35.64,25.85759926,206.1380005,w,Transantarctic Mountains,1,0,0,0
GRID_11415,-82.381,156.363,332173.72068887966,-758979.2402717904,1802.45,52254.38,52.944,-35.64,33.5685997,313.9259949,w,Transantarctic Mountains,1,0,0,0
GRID_11416,-82.377,156.3,333183.42881197564,-759013.0365240747,2080.26,53222.43,52.944,-35.64,10.60599995,351.5230103,w,Transantarctic Mountains,1,0,0,0
GRID_11417,-82.422,156.908,323185.43885504536,-757990.9107539799,1426.52,43919.42,52.944,-35.64,15.29459953,16.43790054,w,Transantarctic Mountains,1,0,0,0
GRID_11418,-82.386,156.272,333159.2971000641,-757951.444490549,1884.18,53479.53,52.944,-35.64,32.07989883,316.0220032,w,Transantarctic Mountains,1,0,0,0
GRID_11419,-82.371,156.019,337167.88071765756,-757967.8132379706,1883.32,57345.46,52.944,-35.64,4.713560104,167.3119965,w,Transantarctic Mountains,1,0,0,0
GRID_11420,-82.394,156.244,333178.1504995204,-756989.8972937319,1777.18,53753.89,52.944,-35.64,21.2322998,255.4049988,w,Transantarctic Mountains,1,0,0,0
GRID_11421,-82.39,156.181,334186.49720967613,-757022.2189627655,2006.82,54713.75,52.944,-35.64,2.679029942,155.0549927,w,Transantarctic Mountains,1,0,0,0
GRID_11422,-82.443,156.917,322168.3855462373,-755934.6401947411,1491.08,43675.8,52.944,-35.64,12.47999954,224.8450012,w,Transantarctic Mountains,1,0,0,0
GRID_11423,-82.403,156.216,333152.1600563735,-755928.7130277822,1869.44,54045.36,52.944,-35.64,42.66849899,248.1569977,w,Transantarctic Mountains,1,0,0,0
GRID_11424,-82.482,156.559,325193.31467160786,-750004.485720932,1508.31,48890.07,26.739,-36.963,18.35630035,46.92829895,w,Transantarctic Mountains,1,0,0,0
GRID_11425,-82.479,156.495,326161.36414429854,-749940.8071119718,1483.48,49783.28,26.739,-36.963,14.57260036,331.5769958,w,Transantarctic Mountains,1,0,0,0
GRID_11426,-82.506,156.632,323199.3207145556,-748015.4828980827,1536.35,48090.49,26.739,-36.963,22.74189949,156.7619934,w,Transantarctic Mountains,1,0,0,0
