target,r2_knn,r2_rf,r2_xgb,xgb_vs_rf,xgb_vs_knn,tier
d15n_air_permil,,,0.648616,,,strong
wt_percent_n,,,0.509943,,,strong
log_total_mg_l_na,,,0.474966,,,moderate
log_digest_mg_kg_sr4077,,,0.453362,,,moderate
digest_mg_kg_k_7664,,,0.436389,,,moderate
digest_mg_kg_ni2316,,,0.422634,,,moderate
digest_mg_kg_mg2852,,,0.413011,,,moderate
log_digest_mg_kg_na5895,,,0.403802,,,moderate
log_digest_mg_kg_p_1774,,,0.390232,,,moderate
digest_mg_kg_cr2835,,,0.389006,,,moderate
c_n_ratio,,,0.388044,,,moderate
clr_total_mg_l_po4,,,0.387936,,,moderate
clr_total_mg_l_k,,,0.380681,,,moderate
log_digest_mg_kg_ca3158,,,0.352251,,,moderate
log_digest_mg_kg_mo2020,,,0.347419,,,moderate
digest_mg_kg_ti3349,,,0.343693,,,moderate
wt_percent_c,,,0.325391,,,moderate
d13c_vpdb_permil,,,0.31665,,,moderate
clr_hr_24_mg_l_po4,,,0.310508,,,moderate
log_cec_meq_100g,,,0.303156,,,moderate
digest_mg_kg_al3082,,,0.299748,,,weak
clr_hr_1_mg_l_po4,,,0.295668,,,weak
ph_mq,,,0.285033,,,weak
digest_mg_kg_co2286,,,0.255238,,,weak
clr_total_mg_l_ca2,,,0.252523,,,weak
ph_kcl,,,0.247144,,,weak
digest_mg_kg_fe2599,,,0.246558,,,weak
clr_hr_1_mg_l_no3,,,0.220355,,,weak
log_total_mg_l_mg2,,,0.215955,,,weak
log_hr_24_mg_l_cl,,,0.207611,,,weak
clr_total_mg_l_no3,,,0.204845,,,weak
clr_total_mg_l_sr2,,,0.190739,,,weak
log_digest_mg_kg_pb2203,,,0.183975,,,weak
log_hr_1_mg_l_so4,,,0.183944,,,weak
log_total_mg_l_so4,,,0.16512,,,weak
log_hr_1_mg_l_cl,,,0.164664,,,weak
log_total_mg_l_cl,,,0.164531,,,weak
clr_hr_24_mg_l_so4,,,0.164063,,,weak
log_total_mg_l_ca2,,,0.161476,,,weak
clr_total_mg_l_na,,,0.151975,,,weak
digest_mg_kg_ba4554,,,0.13119,,,weak
ph_cacl2,,,0.125224,,,weak
digest_mg_kg_v_2924,,,0.122494,,,weak
digest_mg_kg_mn2576,,,0.121709,,,weak
clr_hr_24_mg_l_cl,,,0.121424,,,weak
digest_mg_kg_cu3247,,,0.115892,,,weak
clr_total_mg_l_cl,,,0.106457,,,weak
digest_mg_kg_si2516,,,0.101013,,,weak
log_digest_mg_kg_li6707,,,0.081638,,,weak
digest_mg_kg_be3130,,,0.081549,,,weak
clr_hr_1_mg_l_so4,,,0.080734,,,weak
clr_total_mg_l_so4,,,0.061581,,,weak
clr_hr_1_mg_l_cl,,,0.057182,,,weak
clr_hr_24_mg_l_f,,,0.046968,,,weak
digest_mg_kg_zn2138,,,0.045691,,,weak
log_digest_mg_kg_sb2068,,,0.028385,,,weak
clr_hr_24_mg_l_no3,,,0.016011,,,weak
log_hr_24_mg_l_so4,,,0.001662,,,weak
clr_total_mg_l_f,,,0.001644,,,weak
clr_hr_1_mg_l_f,,,-0.003617,,,unusable
digest_mg_kg_b_2496,,,-0.008569,,,unusable
log_digest_mg_kg_tl1908,,,-0.011234,,,unusable
log_digest_mg_kg_sn1899,,,-0.018386,,,unusable
ec_us_cm,,,-0.028709,,,unusable
digest_mg_kg_as1890,,,-0.031999,,,unusable
log_digest_mg_kg_hg1849,,,-0.032408,,,unusable
clr_total_mg_l_mg2,,,-0.039065,,,unusable
