target,proj_x_epsg3031,proj_y_epsg3031,wgs84_elev_from_pgc,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_sin,aspect_cos,litho_a,litho_b,litho_c,litho_d,litho_g,litho_n,litho_p,litho_s,litho_w,region_tm,region_svl,region_nvl,region_nwap
ph_mq,0.06943752616643906,0.05520039051771164,0.04499921202659607,0.05142754316329956,0.03766433149576187,0.09035013616085052,0.02139466628432274,0.03343764320015907,0.014990407973527908,0.17424699664115906,0.0,0.042957983911037445,0.03645111247897148,0.023301783949136734,0.0,0.0,0.03880446404218674,0.013075989671051502,0.09208378940820694,0.1601761281490326,0.0,0.0
ph_kcl,0.08594959229230881,0.03632352501153946,0.04095336049795151,0.04651079326868057,0.0685979425907135,0.06656002253293991,0.027151789516210556,0.03747519478201866,0.024129251018166542,0.026410354301333427,0.0,0.14660437405109406,0.015912313014268875,0.024365469813346863,0.0,0.0,0.0890292301774025,0.02903451770544052,0.11685600131750107,0.11813633888959885,0.0,0.0
ph_cacl2,0.06120191141963005,0.04960882291197777,0.07074658572673798,0.0657317042350769,0.09195269644260406,0.1668415367603302,0.032051850110292435,0.08089511096477509,0.021601853892207146,0.0,0.0,0.1330261528491974,0.0,0.028365042060613632,0.0,0.0,0.0538441464304924,0.035812199115753174,0.08436720818281174,0.0239531472325325,0.0,0.0
d15n_air_permil,0.056902725249528885,0.025751154869794846,0.022770050913095474,0.19867216050624847,0.042023539543151855,0.07368870824575424,0.018868153914809227,0.006619944237172604,0.00922224298119545,0.32965773344039917,0.0,0.017253492027521133,0.0,0.0124074537307024,0.0,0.0,0.011799970641732216,0.0,0.07855305820703506,0.09580955654382706,0.0,0.0
d13c_vpdb_permil,0.10108914226293564,0.08222440630197525,0.07988514006137848,0.07248146086931229,0.045968733727931976,0.10328557342290878,0.045569367706775665,0.03399878740310669,0.046139009296894073,0.0,0.0,0.19035178422927856,0.0,0.05885766074061394,0.0,0.0,0.03150695189833641,0.04085996001958847,0.03078065812587738,0.0370013602077961,0.0,0.0
wt_percent_n,0.06700415909290314,0.027452554553747177,0.6068065762519836,0.13133956491947174,0.021179644390940666,0.04354485496878624,0.015299669466912746,0.016381731256842613,0.0709911584854126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wt_percent_c,0.052430275827646255,0.03040172904729843,0.14766789972782135,0.2320863902568817,0.23406998813152313,0.1050683781504631,0.025550635531544685,0.0564551055431366,0.06205663084983826,0.0,0.0,0.044971998780965805,0.0,0.009240929037332535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c_n_ratio,0.047645051032304764,0.020749757066369057,0.38017457723617554,0.03361274674534798,0.019782785326242447,0.1088276132941246,0.012091442011296749,0.031971275806427,0.06536895036697388,0.007973594591021538,0.0,0.18439921736717224,0.0024887975305318832,0.0013669636100530624,0.0010929870186373591,0.0,0.035736531019210815,0.04507624730467796,0.0016415304271504283,0.0,0.0,0.0
log_cec_meq_100g,0.044718462973833084,0.08626426756381989,0.06162800267338753,0.13020651042461395,0.07176855206489563,0.10403276234865189,0.025607233867049217,0.024705519899725914,0.03942186385393143,0.0,0.0,0.05140073597431183,0.04709503427147865,0.06366857141256332,0.0,0.0,0.08961103856563568,0.023633042350411415,0.05102323368191719,0.08521527051925659,0.0,0.0
log_digest_mg_kg_hg1849,0.037607550621032715,0.042642977088689804,0.039005860686302185,0.080780528485775,0.06078916788101196,0.06190988048911095,0.03641212359070778,0.06726465374231339,0.035721853375434875,0.3496224582195282,0.0,0.03636850044131279,0.01623588614165783,0.06954558938741684,0.006875765975564718,0.0,0.0,0.0,0.016926495358347893,0.04229070618748665,0.0,0.0
log_digest_mg_kg_li6707,0.14109891653060913,0.11769065260887146,0.03398557007312775,0.045497361570596695,0.2054174542427063,0.14381785690784454,0.02727351151406765,0.023666987195611,0.017645984888076782,0.0,0.0,0.013593307696282864,0.0,0.010400230064988136,0.0,0.0,0.19098162651062012,0.028930457308888435,0.0,0.0,0.0,0.0
log_digest_mg_kg_mo2020,0.006903644185513258,0.001077443128451705,0.5938955545425415,0.02555995061993599,0.07094190269708633,0.11866024136543274,0.037158455699682236,0.01147310622036457,0.023425178602337837,0.0,0.0,0.08762802183628082,0.0,0.0,0.0,0.0,0.023276472464203835,0.0,0.0,0.0,0.0,0.0
log_digest_mg_kg_p_1774,0.038194671273231506,0.026215143501758575,0.08086813986301422,0.10599710792303085,0.041680753231048584,0.0595250278711319,0.01941320300102234,0.021846283227205276,0.012651807628571987,0.29437798261642456,0.0,0.009506085887551308,0.0,0.029802486300468445,0.0,0.0,0.0018189608817920089,0.004121677950024605,0.013010973110795021,0.01931433565914631,0.22165533900260925,0.0
log_digest_mg_kg_pb2203,0.030000392347574234,0.04598885774612427,0.07476100325584412,0.08223122358322144,0.0742001011967659,0.0,0.0,0.0018507619388401508,0.005103081930428743,0.0,0.0,0.06213836371898651,0.04818318039178848,0.021461477503180504,0.0,0.0,0.0,0.05785073712468147,0.0,0.49623075127601624,0.0,0.0
log_digest_mg_kg_sb2068,0.08602872490882874,0.07609273493289948,0.056494005024433136,0.05974051356315613,0.11427914351224899,0.05873411148786545,0.06200488284230232,0.07017175108194351,0.059845276176929474,0.0,0.0,0.08069248497486115,0.0,0.04496731609106064,0.0,0.0,0.06964969635009766,0.03438549116253853,0.05291563272476196,0.07399826496839523,0.0,0.0
log_digest_mg_kg_sn1899,0.0,0.0,0.2719535529613495,0.0,0.058964330703020096,0.0,0.3700229525566101,0.2990592122077942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
