target,raw_col,log_transformed,selected_transform,back_transform,best_n_estimators,best_learning_rate,best_max_depth,best_min_child_weight,best_subsample,best_colsample_bytree,best_reg_alpha,cv_r2,cv_rmse_log_space,cv_rmse_orig_units,tier,n_folds,n_samples,grid
d15n_air_permil,d15n_air_permil,False,raw,none,30,0.1,6,3,0.6,0.5,1.0,0.6554862487015274,6.255693714444923,6.255693714444923,strong,28,171,predicted
wt_percent_n,wt_percent_n,False,raw,none,30,0.05,4,1,1.0,1.0,0.0,0.4943275324455553,0.06628650962890761,0.06628650962890761,moderate,28,171,predicted
log_total_mg_l_na,total_mg_l_na,True,log,exp,80,0.1,4,10,1.0,1.0,1.0,0.4778557841305413,1.3431838232550302,1677.9381149083863,moderate,28,171,predicted
digest_mg_kg_k_7664,digest_mg_kg_k_7664,False,raw,none,120,0.1,6,5,0.6,0.5,0.0,0.4578377316327714,2143.3195512002667,2143.3195512002667,moderate,28,171,predicted
clr_total_mg_l_po4,clr_total_mg_l_po4,False,raw,none,120,0.1,3,3,0.6,0.5,0.0,0.43569475292134563,1.3767180443606992,1.3767180443606992,moderate,28,171,predicted
digest_mg_kg_na5895,digest_mg_kg_na5895,False,raw,none,300,0.1,3,5,0.8,0.5,0.0,0.4342453929981054,2363.864932173385,2363.864932173385,moderate,28,171,predicted
digest_mg_kg_mg2852,digest_mg_kg_mg2852,False,raw,none,80,0.05,3,10,1.0,0.5,1.0,0.41855920374176403,5206.805873737564,5206.805873737564,moderate,28,171,predicted
log_digest_mg_kg_sr4077,digest_mg_kg_sr4077,True,log1p,expm1,120,0.1,3,10,0.8,1.0,0.0,0.40851325086343804,0.9393184096037586,52.77229687583443,moderate,28,171,predicted
log_digest_mg_kg_p_1774,digest_mg_kg_p_1774,True,log1p,expm1,120,0.05,3,1,0.6,0.5,1.0,0.40423877346864223,0.7834583194450072,1445.8139566520063,moderate,28,171,predicted
digest_mg_kg_cr2835,digest_mg_kg_cr2835,False,raw,none,30,0.1,4,5,0.6,0.7,0.1,0.3973799460985096,10.395713435489768,10.395713435489768,moderate,28,171,predicted
digest_mg_kg_ni2316,digest_mg_kg_ni2316,False,raw,none,80,0.05,3,10,1.0,0.5,1.0,0.39736060731356826,20.49060283580814,20.49060283580814,moderate,28,171,predicted
