target,raw_col,log_transformed,selected_transform,back_transform,best_n_estimators,best_max_depth,best_min_samples_leaf,best_max_features,best_max_samples,cv_r2,cv_rmse_log_space,cv_rmse_orig_units,tier,n_folds,n_samples,grid
clr_hr_24_mg_l_no3,clr_hr_24_mg_l_no3,False,raw,none,100,15.0,5,sqrt,0.8,0.005165886975623812,1.0943852052162593,1.0943852052162593,weak,28,171,predicted
clr_total_mg_l_f,clr_total_mg_l_f,False,raw,none,100,,3,sqrt,,-0.014577587999909492,1.398392942899345,1.398392942899345,unusable,28,171,skipped R²=-0.015
digest_mg_kg_cu3247,digest_mg_kg_cu3247,False,raw,none,100,15.0,5,sqrt,0.8,-0.019575084150098565,13.37581212865501,13.37581212865501,unusable,28,171,skipped R²=-0.020
clr_hr_1_mg_l_f,clr_hr_1_mg_l_f,False,raw,none,100,15.0,5,sqrt,0.8,-0.01986667828894939,1.4179464845411713,1.4179464845411713,unusable,28,171,skipped R²=-0.020
log_digest_mg_kg_tl1908,digest_mg_kg_tl1908,True,log1p,expm1,100,15.0,5,sqrt,0.8,-0.02594051716172885,0.08303273344614338,0.347085390731337,unusable,28,171,skipped R²=-0.026
hr_24_mg_l_so4,hr_24_mg_l_so4,False,raw,none,100,15.0,5,sqrt,0.8,-0.03362983832221378,1929.9307839457647,1929.9307839457647,unusable,28,171,skipped R²=-0.034
digest_mg_kg_b_2496,digest_mg_kg_b_2496,False,raw,none,100,15.0,5,sqrt,0.8,-0.06187901098870374,20.87615481164332,20.87615481164332,unusable,28,171,skipped R²=-0.062
digest_mg_kg_as1890,digest_mg_kg_as1890,False,raw,none,100,15.0,5,sqrt,0.8,-0.08882416230366985,2.604583875521911,2.604583875521911,unusable,28,171,skipped R²=-0.089
log_digest_mg_kg_sn1899,digest_mg_kg_sn1899,True,log1p,expm1,100,,5,sqrt,,-0.09008284619685147,0.07392706885593553,0.2568890308134964,unusable,28,171,skipped R²=-0.090
log_digest_mg_kg_hg1849,digest_mg_kg_hg1849,True,log1p,expm1,100,15.0,5,sqrt,0.8,-0.1008291600110196,1.2732793786870398,69.85947396207868,unusable,28,171,skipped R²=-0.101
clr_total_mg_l_mg2,clr_total_mg_l_mg2,False,raw,none,100,15.0,5,sqrt,0.8,-0.16653997257475783,0.8835597670074942,0.8835597670074942,unusable,28,171,skipped R²=-0.167
ec_us_cm,ec_us_cm,False,raw,none,100,15.0,5,sqrt,0.8,-0.21466802535666152,5407.807228417657,5407.807228417657,unusable,28,171,skipped R²=-0.215
