grid_id,pred_d15n_air_permil,kriging_residual,kriging_variance,final_regression_kriging
GRID_00001,0.9211999999999994,-1.973578133226082,27.0413089947064,-1.0523781332260826
GRID_00002,-0.0842999999999998,-1.9911105643699398,27.03746618562162,-2.0754105643699394
GRID_00003,0.2294,-2.0055032300789017,27.034171827021652,-1.7761032300789017
GRID_00004,0.5784999999999993,-2.036816637721801,27.020695263827896,-1.4583166377218018
GRID_00005,-0.2173,-2.040584679672567,27.01937207599645,-2.257884679672567
GRID_00006,-0.979,-2.0434552430155835,27.01820938598054,-3.0224552430155835
GRID_00007,-7.27017,2.2064260148244434,36.57048488538336,-5.063743985175557
GRID_00008,-6.24172,2.2096944571993102,36.58432933719289,-4.03202554280069
GRID_00009,-8.212470000000003,2.2085587838867218,36.56770381246838,-6.0039112161132815
GRID_00010,-6.58647,2.2100196045297067,36.578256190349975,-4.376450395470293
GRID_00011,-6.5177200000000015,2.213949786396591,36.61263218321045,-4.303770213603411
GRID_00012,-6.812469999999999,2.217647996811261,36.65504295296197,-4.594822003188739
GRID_00013,-5.8150699999999995,2.216807096538978,36.63264796202182,-3.5982629034610216
GRID_00014,-5.683220000000001,2.170528017034468,36.21720708215558,-3.512691982965533
GRID_00015,-7.828606666666667,2.1694828959366537,36.20124260257895,-5.659123770730014
GRID_00016,-6.622557500000002,2.168421007316292,36.18514174042045,-4.45413649268371
GRID_00017,-8.45737,2.1734536842376757,36.236367453505466,-6.2839163157623235
GRID_00018,-6.23427,2.169168379053866,36.171324279554526,-4.065101620946134
GRID_00019,-6.519973333333333,2.1681166175895736,36.155477334868365,-4.351856715743759
GRID_00020,-6.410053333333335,2.174923494283455,36.24609106813063,-4.235129839049879
GRID_00021,-6.663869999999999,2.17061727144843,36.1811110906242,-4.493252728551569
GRID_00022,-6.732220000000002,2.169560435837611,36.16527961227642,-4.562659564162391
GRID_00023,-6.200573333333333,2.1753034427373676,36.23974647012131,-4.025269890595965
GRID_00024,-6.946573333333333,2.1731391685900485,36.20688251697869,-4.773434164743285
GRID_00025,-5.512640833333333,2.18177686557434,36.30046007412711,-3.3308639677589933
GRID_00026,-5.794753333333334,2.1821477020723594,36.29441665542056,-3.612605631260975
GRID_00027,-5.353190833333335,2.1835747357155983,36.30408543104427,-3.169616097617737
GRID_00028,-7.051819999999999,2.1911572408082094,36.38147472814263,-4.86066275919179
GRID_00029,-6.409903333333331,2.2066460613080214,36.529698977249645,-4.20325727202531
GRID_00030,-5.818403333333333,2.210291922264764,36.531855833500714,-3.6081114110685695
GRID_00031,-6.501053333333334,2.2117211974211117,36.542721078766114,-4.289332135912222
GRID_00032,-5.812220000000001,2.2142695242533104,36.56882498773407,-3.5979504757466905
GRID_00033,-6.682253333333335,2.210789940041744,36.52090012380214,-4.471463393291591
GRID_00034,-6.473769999999999,2.2096664987050705,36.505714692437934,-4.264103501294929
GRID_00035,-5.872120000000001,2.2084892293241607,36.48943935013335,-3.66363077067584
GRID_00036,-6.364699999999998,2.2179183293225413,36.60988622607677,-4.146781670677457
GRID_00037,-6.521416666666664,2.2122143094649935,36.531918501549114,-4.309202357201671
GRID_00038,-7.31615,2.2215823622185376,36.65096687798717,-5.094567637781463
GRID_00039,-4.9474333333333345,2.2229584102947992,36.66059429960877,-2.7244749230385352
GRID_00040,-7.6696,1.4309571811606685,29.95152865200462,-6.238642818839331
GRID_00041,-6.895699999999997,1.4314976536603727,29.967479870254575,-5.464202346339624
GRID_00042,-7.0920000000000005,1.431692092361829,29.98461758535506,-5.660307907638171
GRID_00043,-5.3241999999999985,1.4448174299024175,30.01296254316643,-3.8793825700975813
GRID_00044,-8.027700000000001,1.4386736717140287,30.006181337167,-6.589026328285972
GRID_00045,-7.10485,1.432178678409489,30.000656309652367,-5.672671321590511
GRID_00046,-7.243599999999999,1.439096515355719,30.022276016048444,-5.80450348464428
GRID_00047,-6.972450000000001,1.432639839946224,30.016734522180307,-5.5398101600537775
GRID_00048,-5.391900000000001,1.4732138973307471,30.845256137782986,-3.9186861026692537
GRID_00049,-1.94645,1.4640387345612256,30.92148769958545,-0.48241126543877444
GRID_00050,-8.352483333333328,1.6726538191375442,29.42693797126482,-6.679829514195784
GRID_00051,-9.00559999999999,1.6732440901364858,29.440021304551756,-7.332355909863505
GRID_00052,-7.084353333333331,1.6761078086289904,29.46887358471298,-5.40824552470434
GRID_00053,-8.567483333333328,1.6671338160677864,29.44664105042638,-6.900349517265542
GRID_00054,-7.043433333333334,1.6825724413100422,29.56023783001122,-5.360860892023291
GRID_00055,-8.021553333333333,1.674550162832058,29.514890618315818,-6.347003170501275
GRID_00056,-8.433599999999995,1.670715813050066,29.50206854497734,-6.762884186949929
GRID_00057,-8.044353333333333,1.6826013779135156,29.57439220651255,-6.361751955419818
GRID_00058,-7.943853333333333,1.682464251066089,29.588693947557232,-6.261389082267244
GRID_00059,-7.363853333333331,1.6694804194299397,29.533412488633466,-5.694372913903392
GRID_00060,-6.875333333333328,1.6647733189102993,29.522909770856977,-5.210560014423029
GRID_00061,-8.38008333333333,1.679443531001471,29.58884157430176,-6.7006398023318585
GRID_00062,-8.118649999999995,1.6953572586184324,29.75049315142376,-6.423292741381562
GRID_00063,-8.623499999999996,1.6624878957103362,29.58568734728007,-6.96101210428966
GRID_00064,-7.128783333333331,1.6618944874255064,29.601410392410884,-5.466888845907825
GRID_00065,-5.482799999999998,1.635250185193523,29.58501294472256,-3.8475498148064755
GRID_00066,-5.720883333333334,1.6292507618886891,29.577542032624866,-4.091632571444645
GRID_00067,-6.7841333333333305,1.6557094694338474,29.63771436167935,-5.128423863899483
GRID_00068,-7.832083333333331,1.6903524114654473,29.784139233062426,-6.141730921867883
GRID_00069,-6.494283333333331,1.65515844121458,29.65356187989307,-4.839124892118751
GRID_00070,-7.0630833333333305,1.674807197509154,29.728909446581316,-5.388276135824176
GRID_00071,-5.260683333333333,1.6898166972664397,29.81420033587216,-3.570866636066893
GRID_00072,-4.672583333333333,1.633723715184121,29.647719251351262,-3.038859618149212
GRID_00073,-6.251299999999997,1.6283677908663088,29.63851187198778,-4.622932209133689
GRID_00074,-5.518683333333334,1.633358151228576,29.663317190974837,-3.885325182104758
GRID_00075,-5.5618833333333315,1.6561342871625715,29.760873986642572,-3.90574904617076
GRID_00076,-4.906283333333332,1.6673295270986053,29.827806144653227,-3.2389538062347265
GRID_00077,-5.581483333333333,1.6773942445089867,29.89688425136402,-3.904089088824346
GRID_00078,-5.700783333333334,1.658261492546993,29.836461711073174,-4.042521840786341
GRID_00079,-3.78235,1.5223026183840633,30.20391158752803,-2.2600473816159368
GRID_00080,-4.305550000000001,1.4492908242459646,30.245796617292225,-2.8562591757540368
GRID_00081,-2.5384700000000007,1.5325283167033372,30.374113803727646,-1.0059416832966634
GRID_00082,-3.614949999999999,1.449589077744426,30.262780771798774,-2.165360922255573
GRID_00083,-4.2383500000000005,1.443578657842634,30.256769194230777,-2.7947713421573663
GRID_00084,-2.9805700000000006,1.5377121996142333,30.399187204876256,-1.4428578003857673
GRID_00085,-4.268249999999998,1.4498705833805428,30.27978258539497,-2.8183794166194556
GRID_00086,-1.4590000000000003,1.4438553338213396,30.273665217096024,-0.015144666178660726
GRID_00087,-4.013999999999999,1.438128101000827,30.266499083739568,-2.5758718989991722
GRID_00088,-3.3626499999999995,1.4501358666755093,30.29680095983516,-1.9125141333244902
GRID_00089,-3.770666666666665,1.4441525537779891,30.290677791062464,-2.3265141128886757
GRID_00090,-2.4673000000000003,1.4384200847813562,30.28340599111187,-1.028879915218644
GRID_00091,-2.0322000000000005,1.5169265742825444,30.401136147354862,-0.515273425717456
GRID_00092,-3.647950000000001,1.4444700777539248,30.307806134270145,-2.2034799222460766
GRID_00093,-2.5452000000000017,1.4387694650040797,30.30052728642483,-1.106430534995922
GRID_00094,-4.09025,1.516919363922269,30.418537644769692,-2.5733306360777313
GRID_00095,-2.7472500000000006,1.4447351580371208,30.324850485267298,-1.3025148419628798
GRID_00096,-3.948650000000001,1.4390656237102861,30.317566212451926,-2.509584376289715
GRID_00097,-4.385449999999998,1.5272419540524105,30.452304359402795,-2.8582080459475874
GRID_00098,-4.249350000000001,1.5169019066711777,30.435941722743344,-2.7324480933288227
GRID_00099,-5.777199999999999,1.5323830400855947,30.477457914222587,-4.244816959914404
GRID_00100,-3.634349999999999,1.5222001640544147,30.460924622016044,-2.1121498359455844
GRID_00101,-3.1438,1.5169064061111457,30.453457749744224,-1.6268935938888545
GRID_00102,-3.668250000000001,1.5115438361698421,30.446025610244792,-2.156706163830159
GRID_00103,-3.656449999999998,1.5169009157730151,30.470974949328816,-2.1395490842269833
GRID_00104,-3.747850000000001,1.5115640494615932,30.463543759771106,-2.2362859505384076
GRID_00105,-4.8184,1.5322482851865258,30.51258749929145,-3.2861517148134736
GRID_00106,-4.02035,1.5168857417318728,30.488492645542227,-2.503464258268127
GRID_00107,-3.068420000000001,1.5324734283088628,30.529044028490297,-1.5359465716911382
GRID_00108,-4.6461000000000015,1.5220499419253397,30.54882452836158,-3.124050058074662
GRID_00109,-4.981600000000001,1.537331619262181,30.589974891147534,-3.44426838073782
GRID_00110,-3.7377,1.5322592667582877,30.58198592323201,-2.205440733241712
GRID_00111,-4.972266666666665,1.5271806698020727,30.574253961170438,-3.4450859968645924
GRID_00112,-4.8197,1.5220363969520245,30.56655353498629,-3.2976636030479756
GRID_00113,-3.5042999999999993,1.5171142778941102,30.557700241857525,-1.987185722105889
GRID_00114,-7.35915,1.55693154800664,30.640494821796494,-5.80221845199336
GRID_00115,-6.7637,1.5520867040030797,30.632157756755937,-5.21161329599692
GRID_00116,-4.048050000000001,1.547175748648089,30.623852221858527,-2.5008742513519118
