target,raw_col,log_transformed,selected_transform,back_transform,best_n_estimators,best_learning_rate,best_max_depth,best_min_child_weight,best_subsample,best_colsample_bytree,best_reg_alpha,cv_r2,cv_rmse_log_space,cv_rmse_orig_units,tier,n_folds,n_samples,grid
d15n_air_permil,d15n_air_permil,False,raw,none,300,0.05,4,10,0.6,0.7,0.1,0.6663007614168784,6.156725688747263,6.156725688747263,strong,28,171,predicted
wt_percent_n,wt_percent_n,False,raw,none,200,0.03,8,1,1.0,0.7,0.0,0.4815259522202071,0.06712031851354762,0.06712031851354762,moderate,28,171,predicted
digest_mg_kg_k_7664,digest_mg_kg_k_7664,False,raw,none,30,0.1,6,1,0.8,0.5,1.0,0.47826648032325847,2102.5515402571723,2102.5515402571723,moderate,28,171,predicted
log_total_mg_l_na,total_mg_l_na,True,log,exp,200,0.05,6,10,0.8,1.0,0.0,0.47021564668153204,1.3529750279395862,1698.4060784003113,moderate,28,171,predicted
digest_mg_kg_ni2316,digest_mg_kg_ni2316,False,raw,none,30,0.1,3,10,1.0,0.5,1.0,0.4570811759634039,19.44882761975638,19.44882761975638,moderate,28,171,predicted
log_digest_mg_kg_sr4077,digest_mg_kg_sr4077,True,log1p,expm1,200,0.1,3,10,1.0,0.7,0.1,0.433529924021529,0.9192397813165119,55.74165220294913,moderate,28,171,predicted
digest_mg_kg_mg2852,digest_mg_kg_mg2852,False,raw,none,30,0.1,8,10,0.8,0.7,0.0,0.42786685355844245,5164.962712400824,5164.962712400824,moderate,28,171,predicted
log_digest_mg_kg_na5895,digest_mg_kg_na5895,True,log,exp,50,0.1,4,3,0.8,1.0,1.0,0.4125542619357495,1.072804805625862,2263.6351601497345,moderate,28,171,predicted
clr_total_mg_l_po4,clr_total_mg_l_po4,False,raw,none,80,0.1,8,10,1.0,0.5,0.1,0.4081894626587016,1.4098707718249501,1.4098707718249501,moderate,28,171,predicted
log_digest_mg_kg_p_1774,digest_mg_kg_p_1774,True,log1p,expm1,300,0.01,3,1,0.6,0.7,1.0,0.39480144137010476,0.7896392396825259,1554.495320782317,moderate,28,171,predicted
digest_mg_kg_cr2835,digest_mg_kg_cr2835,False,raw,none,80,0.1,6,1,0.8,0.7,0.0,0.39419889332430624,10.423115267603977,10.423115267603977,moderate,28,171,predicted
digest_mg_kg_ti3349,digest_mg_kg_ti3349,False,raw,none,30,0.1,3,5,0.8,0.5,0.0,0.3867007021324709,504.1243547911181,504.1243547911181,moderate,28,171,predicted
c_n_ratio,c_n_ratio,False,raw,none,200,0.05,6,1,0.8,0.7,0.1,0.3826009093226189,11.406010941124315,11.406010941124315,moderate,28,171,predicted
clr_total_mg_l_k,clr_total_mg_l_k,False,raw,none,300,0.03,8,10,0.8,0.5,1.0,0.373002214295606,1.0352988830822552,1.0352988830822552,moderate,28,171,predicted
log_digest_mg_kg_ca3158,digest_mg_kg_ca3158,True,log,exp,300,0.1,8,10,0.8,1.0,0.1,0.358043084646955,0.891749649855675,8090.036365603886,moderate,28,171,predicted
