target,proj_x_epsg3031,proj_y_epsg3031,wgs84_elev_from_pgc,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_sin,aspect_cos,litho_a,litho_b,litho_c,litho_d,litho_g,litho_n,litho_p,litho_s,litho_w,region_tm,region_svl,region_nvl,region_nwap
ph_mq,0.08078353852033615,0.05040482059121132,0.05078300088644028,0.052563149482011795,0.028164448216557503,0.1556905210018158,0.026062840595841408,0.03763880208134651,0.025286071002483368,0.0,0.0,0.08791190385818481,0.0,0.0,0.0,0.0,0.04868520051240921,0.00791371800005436,0.17648553848266602,0.17162635922431946,0.0,0.0
ph_kcl,0.11088911443948746,0.040465254336595535,0.05823470279574394,0.03833659738302231,0.08418041467666626,0.09398885071277618,0.02245478332042694,0.04307395592331886,0.03221828117966652,0.03395262360572815,0.0,0.13176724314689636,0.007931435480713844,0.014362710528075695,0.0,0.0,0.06674106419086456,0.01462083961814642,0.11571532487869263,0.09106683731079102,0.0,0.0
ph_cacl2,0.09058177471160889,0.06728141009807587,0.08692111819982529,0.06288303434848785,0.1060589849948883,0.20648859441280365,0.051301371306180954,0.09439617395401001,0.022426920011639595,0.0,0.0,0.1743662804365158,0.0,0.0,0.0,0.0,0.03729439154267311,0.0,0.0,0.0,0.0,0.0
d15n_air_permil,0.04643017426133156,0.0755705013871193,0.12331533432006836,0.1763097196817398,0.040761373937129974,0.08855822682380676,0.017875023186206818,0.019840888679027557,0.01721847802400589,0.0,0.0,0.01867334358394146,0.0,0.03041829727590084,0.0,0.0,0.020323019474744797,0.004903556779026985,0.2277708202600479,0.09203119575977325,0.0,0.0
d13c_vpdb_permil,0.030246471986174583,0.04146035388112068,0.039297688752412796,0.0278767216950655,0.05554993450641632,0.1219334527850151,0.023324154317378998,0.016947079449892044,0.03987620398402214,0.04448384791612625,3.665498297777958e-05,0.1983567476272583,0.028042210265994072,0.04036421328783035,0.018014634028077126,0.0,0.0962996557354927,0.06482650339603424,0.021876385435461998,0.057258181273937225,0.03151210770010948,0.00241683516651392
wt_percent_n,0.013756444677710533,0.012434964999556541,0.10380052030086517,0.0847942978143692,0.01904222182929516,0.025886986404657364,0.004267565440386534,0.010372549295425415,0.02882547862827778,0.5834681391716003,0.0,0.021365821361541748,0.006002773065119982,0.007018090691417456,0.0004574567428790033,0.0,0.0011183983879163861,0.0020862335804849863,0.0007694610976614058,0.0738750621676445,0.0006575377192348242,0.0
wt_percent_c,0.023719267919659615,0.04066808894276619,0.16274839639663696,0.1889009326696396,0.1901511400938034,0.16496507823467255,0.014571349136531353,0.045271266251802444,0.0935472920536995,0.0,0.0,0.04169740900397301,0.0,0.0015987649094313383,0.0,0.0,0.009705828502774239,0.005356119479984045,0.007549996487796307,0.009549127891659737,0.0,0.0
c_n_ratio,0.0333947129547596,0.025230752304196358,0.1178271472454071,0.08402825891971588,0.010978053323924541,0.13949696719646454,0.011085020378232002,0.020270289853215218,0.057573698461055756,0.0003630588762462139,0.0,0.19938695430755615,0.0014767843531444669,0.0014212735695764422,4.501752755459165e-06,0.0,0.012444108724594116,0.015508047305047512,0.0013039893237873912,0.26660555601119995,0.0016007267404347658,0.0
log_cec_meq_100g,0.07018500566482544,0.1125059500336647,0.06488271802663803,0.06414075195789337,0.041543394327163696,0.17696253955364227,0.03760714456439018,0.03252845257520676,0.04001187905669212,0.0,0.0,0.05891081690788269,0.0,0.13980133831501007,0.0,0.0,0.05589570477604866,0.025147361680865288,0.061210550367832184,0.018666401505470276,0.0,0.0
log_digest_mg_kg_hg1849,0.027784861624240875,0.02630898915231228,0.03648408502340317,0.03881552815437317,0.036960095167160034,0.051235269755125046,0.023010367527604103,0.04375886917114258,0.02396375685930252,0.2261137068271637,0.0,0.0319405272603035,0.01962108165025711,0.05138574540615082,0.003223635721951723,0.1314522922039032,0.023904891684651375,0.0395226888358593,0.06436830759048462,0.05869480222463608,0.04145039990544319,0.0
log_digest_mg_kg_li6707,0.02523054927587509,0.03441934660077095,0.016004187986254692,0.03265650197863579,0.03621766343712807,0.057761337608098984,0.013339363969862461,0.015473864041268826,0.01678485795855522,0.004369441885501146,0.0,0.01145784743130207,0.005982252769172192,0.031882528215646744,0.01535128802061081,0.4079437255859375,0.07207855582237244,0.03576761856675148,0.12651003897190094,0.03302879258990288,0.007740204222500324,0.0
log_digest_mg_kg_mo2020,0.009906986728310585,0.00507565401494503,0.7216863632202148,0.007673789747059345,0.07567787170410156,0.06124189496040344,0.016210928559303284,0.009051109664142132,0.034898560494184494,0.0,0.0,0.05857674777507782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log_digest_mg_kg_p_1774,0.040931086987257004,0.045119691640138626,0.1894148886203766,0.11829562485218048,0.05908491834998131,0.06368718296289444,0.025295479223132133,0.027612563222646713,0.020676851272583008,0.3564601540565491,0.0,0.015507318079471588,0.0,0.016868604347109795,0.0,0.0,0.013000001199543476,0.008045719936490059,0.0,0.0,0.0,0.0
log_digest_mg_kg_pb2203,0.03731619194149971,0.042583148926496506,0.02255891263484955,0.011484798043966293,0.020313024520874023,0.016177384182810783,0.01052364706993103,0.007206200156360865,0.012631841003894806,0.0,0.0,0.02302904799580574,0.018184486776590347,0.015441225841641426,0.0,0.05624178424477577,0.007017744239419699,0.08533652126789093,0.28681647777557373,0.29931148886680603,0.027826109901070595,0.0
log_digest_mg_kg_sb2068,0.06783994287252426,0.034621015191078186,0.03853548690676689,0.046712711453437805,0.09402497112751007,0.1057085394859314,0.036682385951280594,0.041131652891635895,0.06964001804590225,0.03945578634738922,0.024650268256664276,0.02892984449863434,0.012526366859674454,0.031087642535567284,0.02308824099600315,0.0,0.016284523531794548,0.10345597565174103,0.03846403583884239,0.027188608422875404,0.11997202038764954,0.0
log_digest_mg_kg_sn1899,0.0,0.0,0.0,0.0,0.21440161764621735,0.39127877354621887,0.0,0.3943195939064026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log_digest_mg_kg_sr4077,0.1879180371761322,0.07764332741498947,0.03759651258587837,0.062192946672439575,0.19721619784832,0.18261030316352844,0.0202776025980711,0.009016269817948341,0.04695161059498787,0.0,0.0,0.03801398351788521,0.014552701264619827,0.07878027111291885,0.0,0.0,0.030690088868141174,0.01654009148478508,0.0,0.0,0.0,0.0
log_digest_mg_kg_tl1908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clr_hr_1_mg_l_f,0.06595680117607117,0.06391479820013046,0.0601746030151844,0.07291202247142792,0.11352674663066864,0.12755243480205536,0.052486203610897064,0.03274363651871681,0.06410311162471771,0.0,0.0,0.12009356915950775,0.060402028262615204,0.06121007353067398,0.0,0.0,0.05804433301091194,0.046879660338163376,0.0,0.0,0.0,0.0
clr_hr_1_mg_l_cl,0.038531944155693054,0.055719610303640366,0.11080613732337952,0.12921611964702606,0.046102654188871384,0.1547122448682785,0.10636230558156967,0.026737747713923454,0.20487304031848907,0.0,0.0,0.11063823103904724,0.0,0.016299989074468613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clr_hr_1_mg_l_no3,0.011821111664175987,0.028601238504052162,0.021737636998295784,0.036316074430942535,0.06989932805299759,0.2995174825191498,0.00664374977350235,0.021977992728352547,0.011633754707872868,0.1751031130552292,0.0,0.015262939035892487,0.005699702072888613,0.02413846179842949,0.06364022940397263,0.0,0.009683378040790558,0.0026766462251544,0.000867998693138361,0.19477921724319458,0.0,0.0
clr_hr_1_mg_l_po4,0.03708023577928543,0.05592891201376915,0.0844251960515976,0.0885302871465683,0.02719210833311081,0.3855050504207611,0.029453713446855545,0.0381036214530468,0.034580279141664505,0.0,0.0,0.044182851910591125,0.0,0.020109187811613083,0.0,0.0,0.002023214939981699,0.0,0.01798132061958313,0.13490401208400726,0.0,0.0
clr_hr_1_mg_l_so4,0.017527878284454346,0.043675340712070465,0.05765797942876816,0.038963962346315384,0.014944270253181458,0.04542271047830582,0.030606433749198914,0.02996392920613289,0.01911930926144123,0.5658153891563416,0.0,0.014531509019434452,0.08567282557487488,0.02923945151269436,0.0,0.0,0.006859068293124437,0.0,0.0,0.0,0.0,0.0
clr_hr_24_mg_l_f,0.05732404440641403,0.06339088082313538,0.07320232689380646,0.08808664232492447,0.08838094770908356,0.08783762156963348,0.08105705678462982,0.06029372662305832,0.07109636813402176,0.048128724098205566,0.0,0.049240950495004654,0.04641950502991676,0.03533538058400154,0.0,0.0,0.0163803119212389,0.0,0.0,0.13382554054260254,0.0,0.0
clr_hr_24_mg_l_cl,0.14222708344459534,0.0719098150730133,0.05388684570789337,0.050814613699913025,0.06329166144132614,0.058658257126808167,0.0798209086060524,0.10530178248882294,0.06350678205490112,0.0,0.0,0.10831213742494583,0.0,0.05349603667855263,0.0,0.0,0.03615702688694,0.11261706799268723,0.0,0.0,0.0,0.0
clr_hr_24_mg_l_no3,0.08212409168481827,0.07581430673599243,0.059536177664995193,0.07802671194076538,0.0983344092965126,0.10506407171487808,0.06388605386018753,0.09801382571458817,0.07913856953382492,0.0,0.0,0.033182963728904724,0.0,0.08705075830221176,0.0,0.0,0.0,0.06260231137275696,0.003996954765170813,0.07322881370782852,0.0,0.0
clr_hr_24_mg_l_po4,0.07270719856023788,0.08482462912797928,0.08123038709163666,0.07371828705072403,0.07818751782178879,0.26864591240882874,0.03833493962883949,0.06468573957681656,0.03368657827377319,0.0,0.0,0.034690048545598984,0.0,0.030526168644428253,0.0,0.0,0.03486982360482216,0.0,0.02562238648533821,0.07827043533325195,0.0,0.0
clr_hr_24_mg_l_so4,0.062999427318573,0.09199836850166321,0.11771005392074585,0.10480865836143494,0.05389499291777611,0.07265527546405792,0.05137857422232628,0.066897913813591,0.06231435760855675,0.0,0.0,0.08267305046319962,0.0,0.02325466461479664,0.0,0.0,0.024677637964487076,0.045306380838155746,0.017811303958296776,0.12161937355995178,0.0,0.0
clr_total_mg_l_f,0.09272060543298721,0.04885376617312431,0.06942039728164673,0.07471368461847305,0.08599701523780823,0.062437333166599274,0.07245898991823196,0.05462656915187836,0.03480042144656181,0.0,0.0,0.055208053439855576,0.04351404309272766,0.0878983661532402,0.0,0.0,0.05604873225092888,0.08006978034973145,0.0,0.08123217523097992,0.0,0.0
clr_total_mg_l_cl,0.028325648978352547,0.12721596658229828,0.1414814293384552,0.09847443550825119,0.10364850610494614,0.10184050351381302,0.07070940732955933,0.043881502002477646,0.06793606281280518,0.0,0.0,0.0,0.05648452416062355,0.04288633540272713,0.00543626956641674,0.0,0.0851638913154602,0.0,0.0,0.0,0.026515493169426918,0.0
clr_total_mg_l_no3,0.013094164431095123,0.030437195673584938,0.021595925092697144,0.036154329776763916,0.04626070335507393,0.11455032974481583,0.01213467214256525,0.0337565578520298,0.022226350381970406,0.4215799868106842,0.03884098678827286,0.037729885429143906,0.004170266445726156,0.022243738174438477,0.04103022813796997,0.0,0.009709573350846767,0.05609695613384247,0.005784887354820967,0.03070184960961342,0.0012870904756709933,0.0006143684149719775
clr_total_mg_l_po4,0.03776773810386658,0.0583520345389843,0.05760151520371437,0.06057841330766678,0.03147653862833977,0.45707544684410095,0.018995793536305428,0.038955021649599075,0.02213924564421177,0.0,0.0,0.058727335184812546,0.0022026195656508207,0.03452521562576294,0.0,0.08430927991867065,0.006088851485401392,0.0036090435460209846,0.003394265426322818,0.02420162409543991,0.0,0.0
clr_total_mg_l_so4,0.09000255167484283,0.07400772720575333,0.07945530861616135,0.11162595450878143,0.05993559956550598,0.12054812163114548,0.053072743117809296,0.059388212859630585,0.04407532513141632,0.19803611934185028,0.0,0.0167941115796566,0.05971509590744972,0.0333431251347065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clr_total_mg_l_ca2,0.044719427824020386,0.05724157765507698,0.0618823803961277,0.020768437534570694,0.026897389441728592,0.03882391005754471,0.023868979886174202,0.023257410153746605,0.02586647868156433,0.5367754101753235,0.0,0.02635059878230095,0.03812505304813385,0.012996910139918327,0.0,0.0,0.02210519276559353,0.014367897994816303,0.01829460635781288,0.007658318150788546,0.0,0.0
clr_total_mg_l_k,0.061444107443094254,0.09961161017417908,0.06763670593500137,0.0838787779211998,0.0921526849269867,0.1907501369714737,0.033461794257164,0.02801976352930069,0.026023978367447853,0.0,0.0,0.02328541688621044,0.0,0.006606912240386009,0.0,0.0,0.0009917020797729492,0.008214151486754417,0.060008466243743896,0.21791379153728485,0.0,0.0
clr_total_mg_l_mg2,0.17986255884170532,0.015013283118605614,0.019289201125502586,0.05914337560534477,0.07844424247741699,0.3774086534976959,0.04398033395409584,0.06790496408939362,0.11942115426063538,0.0,0.0,0.0,0.0,0.03953215479850769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clr_total_mg_l_na,0.07300146669149399,0.06363900005817413,0.057742293924093246,0.07408159971237183,0.09362779557704926,0.13522276282310486,0.051245227456092834,0.03918413445353508,0.05608377605676651,0.0,0.0,0.1112680435180664,0.0,0.030706239864230156,0.0,0.0,0.0,0.0,0.13519369065761566,0.0790039598941803,0.0,0.0
clr_total_mg_l_sr2,0.042403317987918854,0.04217144846916199,0.06527452170848846,0.10777578502893448,0.04408695176243782,0.12834781408309937,0.04183786362409592,0.020393025130033493,0.02520446479320526,0.13782010972499847,0.0,0.042421773076057434,0.012470262125134468,0.15820367634296417,0.0,0.0,0.03321109712123871,0.04901687800884247,0.0072640771977603436,0.04209687560796738,0.0,0.0
digest_mg_kg_al3082,0.1371816247701645,0.09115354716777802,0.055921535938978195,0.07610920816659927,0.11068592220544815,0.21789565682411194,0.031974341720342636,0.014457451179623604,0.034127265214920044,0.0,0.0,0.00706871785223484,0.0,0.17889416217803955,0.0,0.0,0.022653888911008835,0.021876707673072815,0.0,0.0,0.0,0.0
digest_mg_kg_as1890,0.08125099539756775,0.07967259734869003,0.10170036554336548,0.07125379145145416,0.07949834316968918,0.12808163464069366,0.025822021067142487,0.09428790211677551,0.04910725727677345,0.0,0.0,0.04403629153966904,0.0,0.0,0.0,0.0,0.025959042832255363,0.04096795618534088,0.05322790890932083,0.12513384222984314,0.0,0.0
digest_mg_kg_b_2496,0.15370984375476837,0.07709331810474396,0.09727881848812103,0.0803198516368866,0.08892013877630234,0.1429530382156372,0.07405323535203934,0.1038702055811882,0.0,0.0,0.0,0.14637592434883118,0.0,0.0,0.0,0.0,0.027680741623044014,0.0,0.007744959089905024,0.0,0.0,0.0
digest_mg_kg_ba4554,0.14665476977825165,0.11284846812486649,0.0527980662882328,0.10703177750110626,0.08276607096195221,0.082511305809021,0.03674762696027756,0.08109414577484131,0.06153726577758789,0.0,0.0,0.14850404858589172,0.0,0.0,0.0,0.0,0.04021117091178894,0.04729519039392471,0.0,0.0,0.0,0.0
digest_mg_kg_be3130,0.03940699249505997,0.057185061275959015,0.08859550952911377,0.09002614766359329,0.04399005323648453,0.01850421540439129,0.0789581760764122,0.04379253089427948,0.05359138175845146,0.20276513695716858,0.0,0.0,0.01909131556749344,0.17466068267822266,0.0,0.0,0.028948906809091568,0.01993846520781517,0.04054537042975426,0.0,0.0,0.0
digest_mg_kg_co2286,0.06898762285709381,0.08410794287919998,0.06748134642839432,0.06676337122917175,0.12325067818164825,0.07542355358600616,0.02710876427590847,0.012166786007583141,0.1301361471414566,0.0,0.0,0.16485263407230377,0.0,0.022697946056723595,0.0,0.0,0.05618108808994293,0.011673555709421635,0.037967462092638016,0.05120119825005531,0.0,0.0
digest_mg_kg_cr2835,0.06118569150567055,0.06466976553201675,0.017829038202762604,0.02771763503551483,0.08348705619573593,0.18891534209251404,0.014739755541086197,0.024954983964562416,0.03978855907917023,0.0,0.0,0.015421158634126186,0.001910592895001173,0.17899391055107117,0.002095708390697837,0.0,0.03177190199494362,0.024902725592255592,0.04390816390514374,0.17332905530929565,0.004378956742584705,0.0
digest_mg_kg_cu3247,0.10823436081409454,0.05035999417304993,0.12924303114414215,0.044556256383657455,0.043365683406591415,0.3458351194858551,0.08943340927362442,0.042497169226408005,0.03600116819143295,0.0,0.0,0.04451034218072891,0.0,0.02826368436217308,0.0,0.0,0.0,0.015351707115769386,0.02234807424247265,0.0,0.0,0.0
digest_mg_kg_fe2599,0.09659325331449509,0.07738562673330307,0.07585050910711288,0.09435819834470749,0.0939791351556778,0.1348649561405182,0.05122728273272514,0.028262823820114136,0.048639342188835144,0.0,0.0,0.06217155605554581,0.0,0.16427776217460632,0.0,0.0,0.044638730585575104,0.027750760316848755,0.0,0.0,0.0,0.0
digest_mg_kg_k_7664,0.014919274486601353,0.025938156992197037,0.03609313815832138,0.022754844278097153,0.10823484510183334,0.1849460005760193,0.007099638693034649,0.03803984820842743,0.026501337066292763,0.06092889979481697,0.0007336146663874388,0.012813926674425602,0.008542013354599476,0.06532222032546997,0.0026616204995661974,0.07616332173347473,0.22241710126399994,0.024635035544633865,0.013290617614984512,0.04796458035707474,0.0,0.0
digest_mg_kg_mn2576,0.1211094781756401,0.03167775273323059,0.22170694172382355,0.05115974321961403,0.005218930542469025,0.036980561912059784,0.011030997149646282,0.09023831784725189,0.03216777369379997,0.0,0.0,0.0008837045752443373,0.0,0.044215377420186996,0.0,0.0,0.06465324014425278,0.2889571785926819,0.0,0.0,0.0,0.0
digest_mg_kg_ni2316,0.06567541509866714,0.12200023233890533,0.08300036191940308,0.11711755394935608,0.04138248413801193,0.11704275757074356,0.007378120440989733,0.003189327195286751,0.08924604952335358,0.0,0.0,0.20627857744693756,0.0,0.0,0.0,0.0,0.017162907868623734,0.0,0.013607395812869072,0.11691874265670776,0.0,0.0
digest_mg_kg_si2516,0.0892782136797905,0.2933504283428192,0.04453401267528534,0.11681351065635681,0.010307873599231243,0.015227796509861946,0.024233145639300346,0.04494456201791763,0.12094207108020782,0.0,0.0,0.01878591813147068,0.0,0.0,0.0,0.0,0.031224893406033516,0.19035764038562775,0.0,0.0,0.0,0.0
digest_mg_kg_ti3349,0.03761127218604088,0.03164253011345863,0.07531560957431793,0.06757228076457977,0.036308880895376205,0.1304788887500763,0.04936002194881439,0.037685565650463104,0.047861598432064056,0.0,0.0,0.07273852080106735,0.006090597715228796,0.0013253729557618499,0.0,0.0,0.0,0.035140492022037506,0.0144680580124259,0.3564002513885498,0.0,0.0
digest_mg_kg_v_2924,0.07887081801891327,0.08618735522031784,0.05139479413628578,0.046585630625486374,0.0903344377875328,0.0816711038351059,0.034487225115299225,0.04846976697444916,0.10422466695308685,0.0,0.0,0.14409340918064117,0.0,0.043227747082710266,0.0,0.0,0.07867329567670822,0.010112280026078224,0.02909707836806774,0.07257046550512314,0.0,0.0
digest_mg_kg_zn2138,0.06438865512609482,0.03161097317934036,0.0851987823843956,0.04915270954370499,0.04650251939892769,0.05328837037086487,0.030191048979759216,0.0372844859957695,0.049182742834091187,0.07345394790172577,0.0,0.02082398533821106,0.0,0.038896091282367706,0.0,0.0,0.023084226995706558,0.2900770902633667,0.0524805523455143,0.05438381806015968,0.0,0.0
ec_us_cm,0.122366763651371,0.034910961985588074,0.08067364245653152,0.010896299965679646,0.0,0.5096888542175293,0.12305314838886261,0.10183854401111603,0.016571814194321632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
