target,r2_knn,r2_rf,r2_xgb,xgb_vs_rf,xgb_vs_knn,tier
d15n_air_permil,,,0.666301,,,strong
wt_percent_n,,,0.481526,,,moderate
digest_mg_kg_k_7664,,,0.478266,,,moderate
log_total_mg_l_na,,,0.470216,,,moderate
digest_mg_kg_ni2316,,,0.457081,,,moderate
log_digest_mg_kg_sr4077,,,0.43353,,,moderate
digest_mg_kg_mg2852,,,0.427867,,,moderate
log_digest_mg_kg_na5895,,,0.412554,,,moderate
clr_total_mg_l_po4,,,0.408189,,,moderate
log_digest_mg_kg_p_1774,,,0.394801,,,moderate
digest_mg_kg_cr2835,,,0.394199,,,moderate
digest_mg_kg_ti3349,,,0.386701,,,moderate
c_n_ratio,,,0.382601,,,moderate
clr_total_mg_l_k,,,0.373002,,,moderate
log_digest_mg_kg_ca3158,,,0.358043,,,moderate
clr_hr_1_mg_l_po4,,,0.35203,,,moderate
log_digest_mg_kg_mo2020,,,0.331158,,,moderate
d13c_vpdb_permil,,,0.330534,,,moderate
wt_percent_c,,,0.327634,,,moderate
digest_mg_kg_al3082,,,0.303534,,,moderate
ph_mq,,,0.297895,,,weak
clr_hr_24_mg_l_po4,,,0.286387,,,weak
log_cec_meq_100g,,,0.281733,,,weak
digest_mg_kg_co2286,,,0.276497,,,weak
log_hr_24_mg_l_cl,,,0.262875,,,weak
clr_total_mg_l_no3,,,0.260349,,,weak
ph_kcl,,,0.253335,,,weak
digest_mg_kg_fe2599,,,0.24078,,,weak
clr_total_mg_l_ca2,,,0.232965,,,weak
clr_hr_1_mg_l_no3,,,0.227673,,,weak
log_total_mg_l_ca2,,,0.205183,,,weak
log_digest_mg_kg_pb2203,,,0.194345,,,weak
log_total_mg_l_mg2,,,0.187813,,,weak
clr_total_mg_l_sr2,,,0.185704,,,weak
log_hr_1_mg_l_so4,,,0.179817,,,weak
clr_total_mg_l_na,,,0.165136,,,weak
log_total_mg_l_so4,,,0.162642,,,weak
digest_mg_kg_ba4554,,,0.157383,,,weak
log_hr_1_mg_l_cl,,,0.147091,,,weak
digest_mg_kg_mn2576,,,0.143466,,,weak
digest_mg_kg_be3130,,,0.127317,,,weak
digest_mg_kg_v_2924,,,0.126259,,,weak
clr_hr_24_mg_l_cl,,,0.125612,,,weak
digest_mg_kg_si2516,,,0.123473,,,weak
log_total_mg_l_cl,,,0.119174,,,weak
clr_hr_24_mg_l_so4,,,0.118671,,,weak
ph_cacl2,,,0.111795,,,weak
clr_total_mg_l_cl,,,0.10645,,,weak
clr_hr_1_mg_l_so4,,,0.097409,,,weak
digest_mg_kg_cu3247,,,0.093694,,,weak
log_digest_mg_kg_li6707,,,0.092472,,,weak
clr_hr_24_mg_l_f,,,0.05539,,,weak
clr_total_mg_l_so4,,,0.053331,,,weak
clr_hr_1_mg_l_cl,,,0.052477,,,weak
digest_mg_kg_zn2138,,,0.048927,,,weak
log_digest_mg_kg_sb2068,,,0.042573,,,weak
clr_hr_24_mg_l_no3,,,0.014254,,,weak
clr_total_mg_l_f,,,0.012842,,,weak
hr_24_mg_l_so4,,,0.004435,,,weak
clr_hr_1_mg_l_f,,,-0.002144,,,unusable
digest_mg_kg_b_2496,,,-0.008651,,,unusable
log_digest_mg_kg_tl1908,,,-0.011227,,,unusable
log_digest_mg_kg_sn1899,,,-0.016549,,,unusable
digest_mg_kg_as1890,,,-0.016711,,,unusable
log_digest_mg_kg_hg1849,,,-0.026838,,,unusable
ec_us_cm,,,-0.036709,,,unusable
clr_total_mg_l_mg2,,,-0.058556,,,unusable
