target,raw_col,log_transformed,selected_transform,back_transform,best_n_estimators,best_max_depth,best_min_samples_leaf,best_max_features,best_max_samples,cv_r2,cv_rmse_log_space,cv_rmse_orig_units,tier,n_folds,n_samples,grid
d15n_air_permil,d15n_air_permil,False,raw,none,100,15.0,3,sqrt,,0.6577815080859769,6.234820186518844,6.234820186518844,strong,28,171,predicted
digest_mg_kg_na5895,digest_mg_kg_na5895,False,raw,none,100,15.0,3,sqrt,,0.42932114370600905,2374.130019640115,2374.130019640115,moderate,28,171,predicted
digest_mg_kg_mg2852,digest_mg_kg_mg2852,False,raw,none,100,,1,sqrt,,0.4262947251229555,5172.054081212114,5172.054081212114,moderate,28,171,predicted
digest_mg_kg_ni2316,digest_mg_kg_ni2316,False,raw,none,100,15.0,1,sqrt,0.8,0.41104247278083306,20.25666591652205,20.25666591652205,moderate,28,171,predicted
digest_mg_kg_ti3349,digest_mg_kg_ti3349,False,raw,none,100,30.0,3,sqrt,0.8,0.4045052019583798,496.75292321508965,496.75292321508965,moderate,28,171,predicted
digest_mg_kg_k_7664,digest_mg_kg_k_7664,False,raw,none,100,,1,0.5,,0.3840750111910982,2284.4738592489525,2284.4738592489525,moderate,28,171,predicted
clr_total_mg_l_po4,clr_total_mg_l_po4,False,raw,none,100,,3,0.5,,0.382391288553681,1.4402724949285821,1.4402724949285821,moderate,28,171,predicted
wt_percent_n,wt_percent_n,False,raw,none,100,30.0,3,sqrt,,0.37796646971510495,0.07351862826365334,0.07351862826365334,moderate,28,171,predicted
log_digest_mg_kg_sr4077,digest_mg_kg_sr4077,True,log1p,expm1,100,15.0,1,sqrt,0.8,0.3751951429203527,0.9654116220392752,57.1066264351664,moderate,28,171,predicted
log_digest_mg_kg_p_1774,digest_mg_kg_p_1774,True,log1p,expm1,100,30.0,3,sqrt,0.8,0.36883854206646727,0.8063990630649226,1686.823721650127,moderate,28,171,predicted
d13c_vpdb_permil,d13c_vpdb_permil,False,raw,none,100,15.0,1,sqrt,0.8,0.35860152069882023,8.59915565018886,8.59915565018886,moderate,28,171,predicted
digest_mg_kg_cr2835,digest_mg_kg_cr2835,False,raw,none,100,30.0,5,sqrt,,0.3327607282431895,10.938891362684517,10.938891362684517,moderate,28,171,predicted
ph_mq,ph_mq,False,raw,none,100,30.0,3,sqrt,,0.2992801092346087,1.010155603632661,1.010155603632661,weak,28,171,predicted
wt_percent_c,wt_percent_c,False,raw,none,100,30.0,5,0.5,0.8,0.2820614886767,0.44656374513162583,0.44656374513162583,weak,28,171,predicted
c_n_ratio,c_n_ratio,False,raw,none,100,,3,0.75,0.8,0.28022675270926023,12.315403382317884,12.315403382317884,weak,28,171,predicted
log_digest_mg_kg_ca3158,digest_mg_kg_ca3158,True,log,exp,100,30.0,5,0.5,0.8,0.2740211622262534,0.948313618318021,8870.709779369541,weak,28,171,predicted
clr_hr_1_mg_l_po4,clr_hr_1_mg_l_po4,False,raw,none,100,15.0,3,sqrt,,0.26969616642813454,1.5086428918934973,1.5086428918934973,weak,28,171,predicted
clr_hr_24_mg_l_po4,clr_hr_24_mg_l_po4,False,raw,none,100,,1,sqrt,,0.2674941072344139,1.1940317453976395,1.1940317453976395,weak,28,171,predicted
digest_mg_kg_co2286,digest_mg_kg_co2286,False,raw,none,100,,5,sqrt,0.8,0.2587806578161773,4.811889723778308,4.811889723778308,weak,28,171,predicted
clr_total_mg_l_k,clr_total_mg_l_k,False,raw,none,100,30.0,5,0.5,0.8,0.2568973712620102,1.1270862218552442,1.1270862218552442,weak,28,171,predicted
log_total_mg_l_na,total_mg_l_na,True,log,exp,100,15.0,5,0.5,0.8,0.2538749064671283,1.6056320930954544,1746.5049660685515,weak,28,171,predicted
ph_kcl,ph_kcl,False,raw,none,100,,5,sqrt,0.8,0.253617924910041,1.0412772826984515,1.0412772826984515,weak,28,171,predicted
clr_total_mg_l_ca2,clr_total_mg_l_ca2,False,raw,none,100,,1,sqrt,,0.24699855567391438,1.0497105053956073,1.0497105053956073,weak,28,171,predicted
log_digest_mg_kg_pb2203,digest_mg_kg_pb2203,True,log1p,expm1,100,,5,sqrt,0.8,0.21688216874957555,0.6959555897663627,14.723146475839295,weak,28,171,predicted
log_digest_mg_kg_mo2020,digest_mg_kg_mo2020,True,log1p,expm1,100,,5,sqrt,,0.20619326667583082,0.251376839403773,0.4376128701849476,weak,28,171,predicted
log_cec_meq_100g,cec_meq_100g,True,log1p,expm1,100,30.0,5,0.5,0.8,0.20556582605153684,0.5105434737673619,2.969243692512398,weak,28,171,predicted
digest_mg_kg_fe2599,digest_mg_kg_fe2599,False,raw,none,100,15.0,3,sqrt,,0.2006767702985809,6605.233956380728,6605.233956380728,weak,28,171,predicted
